cast,Kd_obs,I0,R2_PAR_Depth,BeamAttm,R2_Kd_BeamAtt,Kd_mdl,Kd
1,0.154157533594692,1471.3940661079,0.969211360416421,1.049,0.484656017842376,0.173545399763604,0.154157533594692
2,NaN,NaN,NaN,0.797725,0.484656017842376,0.133293404055954,0.133293404055954
3,NaN,NaN,NaN,0.6525,0.484656017842376,0.110029664819486,0.110029664819486
4,NaN,NaN,NaN,0.7313375,0.484656017842376,0.122658723466792,0.122658723466792
5,0.14616375100256,315.477400470959,0.956330188730503,0.6737625,0.484656017842376,0.113435726141679,0.14616375100256
6,0.0937876034884582,414.155170602419,0.954885651870728,0.6136,0.484656017842376,0.103798234581589,0.0937876034884582
7,NaN,NaN,NaN,0.63295,0.484656017842376,0.106897930599669,0.106897930599669
8,0.103873906247523,692.327365355193,0.953967521859657,0.572975,0.484656017842376,0.0972904748537082,0.103873906247523
9,0.0902180062322993,1443.18435033078,0.975743453005398,0.56885,0.484656017842376,0.0966296869428772,0.0902180062322993
10,0.0682148763096114,1530.30605607112,0.987610736396425,0.58565,0.484656017842376,0.099320895888807,0.0682148763096114
11,NaN,NaN,NaN,0.6491,0.484656017842376,0.109485015389953,0.109485015389953
12,NaN,NaN,NaN,0.6215375,0.484656017842376,0.105069750713037,0.105069750713037
13,NaN,NaN,NaN,0.6088875,0.484656017842376,0.103043334453155,0.103043334453155
14,NaN,NaN,NaN,0.5907875,0.484656017842376,0.100143877195933,0.100143877195933
15,0.106622207147525,17.8280834002797,0.976845463896009,0.5843125,0.484656017842376,0.0991066404146891,0.106622207147525
16,0.10299336493512,71.282902608652,0.981544350248386,0.5953125,0.484656017842376,0.100868741510238,0.10299336493512
17,NaN,NaN,NaN,0.6444,0.484656017842376,0.108732117649127,0.108732117649127
18,NaN,NaN,NaN,0.6341,0.484656017842376,0.107082150259658,0.107082150259658
19,NaN,NaN,NaN,0.61205,0.484656017842376,0.103549938518125,0.103549938518125
20,NaN,NaN,NaN,0.611775,0.484656017842376,0.103505885990737,0.103505885990737
21,0.0749333527119862,104.813763506152,0.92159904057935,0.59755,0.484656017842376,0.101227168892174,0.0749333527119862
22,0.167675995690035,1559.63515716257,0.976127886189295,0.736075,0.484656017842376,0.123417628370444,0.167675995690035
23,NaN,NaN,NaN,0.874383333333333,0.484656017842376,0.145573379796831,0.145573379796831
24,NaN,NaN,NaN,0.755625,0.484656017842376,0.126549362590261,0.126549362590261
25,NaN,NaN,NaN,0.920785714285714,0.484656017842376,0.153006624007039,0.153006624007039
26,NaN,NaN,NaN,0.9949875,0.484656017842376,0.164893082906935,0.164893082906935
