cast,Kd_obs,I0,R2_PAR_Depth,BeamAttm,R2_Kd_BeamAtt,Kd_mdl,Kd
1,NaN,NaN,NaN,0.498294444444444,0.0686035086843817,NaN,NaN
2,NaN,NaN,NaN,0.516076470588235,0.0686035086843817,NaN,NaN
3,NaN,NaN,NaN,0.332947058823529,0.0686035086843817,NaN,NaN
4,NaN,NaN,NaN,0.248923529411765,0.0686035086843817,NaN,NaN
5,NaN,NaN,NaN,0.238861111111111,0.0686035086843817,NaN,NaN
6,0.10758972378207,1361.96154129173,0.994389343048165,0.252082352941176,0.0686035086843817,NaN,0.10758972378207
7,0.0938140593248226,865.063089969738,0.746203214086113,0.2594375,0.0686035086843817,NaN,0.0938140593248226
8,NaN,NaN,NaN,0.27475625,0.0686035086843817,NaN,NaN
9,NaN,NaN,NaN,0.268188235294118,0.0686035086843817,NaN,NaN
10,0.0855191939973414,295.446920277057,0.983453621702608,0.228273333333333,0.0686035086843817,NaN,0.0855191939973414
11,0.099532723507052,676.075962244162,0.994232958815866,0.263553333333333,0.0686035086843817,NaN,0.099532723507052
12,NaN,NaN,NaN,0.232275,0.0686035086843817,NaN,NaN
13,NaN,NaN,NaN,0.18975,0.0686035086843817,NaN,NaN
14,0.124551787015777,75.637144146272,0.995949363731788,0.25675625,0.0686035086843817,NaN,0.124551787015777
15,0.0930664332606226,503.816889940089,0.978168283583895,0.231477777777778,0.0686035086843817,NaN,0.0930664332606226
16,0.0959992694419772,177.015395926099,0.986288034619137,0.278947058823529,0.0686035086843817,NaN,0.0959992694419772
17,0.0398624530211806,79.8409989245656,0.804879095346553,0.296316666666667,0.0686035086843817,NaN,0.0398624530211806
18,0.0873112011927209,115.62056927428,0.983016405178249,0.315541176470588,0.0686035086843817,NaN,0.0873112011927209
19,0.102989505241046,69.8979867642606,0.988296355525083,0.315022222222222,0.0686035086843817,NaN,0.102989505241046
20,NaN,NaN,NaN,0.339323529411765,0.0686035086843817,NaN,NaN
21,NaN,NaN,NaN,0.2942,0.0686035086843817,NaN,NaN
22,NaN,NaN,NaN,0.305588888888889,0.0686035086843817,NaN,NaN
23,NaN,NaN,NaN,0.282752941176471,0.0686035086843817,NaN,NaN
