Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
408;208.151184;16.967;3.023;23.3083;23.3065;-0.0018;4.714794;4.714983;0.000011;4.1619;0.9113;79.6270;0.1628;0.4911;1.6005;32.01;1.5697;2.6607;2.6607;3.2064;3.2064;0.1451;3.1646e+00;1.8610e+02;0.0000;1.7005e+00;1;41.06819;-70.99326;3.000;31.8295;31.8323;21.4434;21.4460;236.135;228.746;217.21802;216.69934;23.3077;23.3058;1526.83;1526.83;-0.052;0.056;970;0.0000e+00
994;208.151459;41.371;4.031;22.8926;22.9146;0.0221;4.676971;4.678127;0.002550;4.1640;0.9092;79.6681;0.1609;0.4794;1.5792;31.58;1.3987;2.6306;2.6306;3.1692;3.1692;0.1513;2.1019e+00;1.2361e+02;0.0000;1.7005e+00;1;41.06818;-70.99318;4.000;31.8425;31.8353;21.5713;21.5596;233.463;226.379;218.77463;218.26303;22.8918;22.9138;1525.79;1525.84;0.394;0.210;61;0.0000e+00
1050;208.151489;43.711;5.039;22.5840;22.6287;0.0447;4.648492;4.651162;0.006418;4.1672;0.9060;79.7314;0.1563;0.4515;1.5446;30.89;1.1953;2.6385;2.6385;3.1846;3.1846;0.1514;1.2793e+00;7.5233e+01;0.0000;1.7005e+00;1;41.06818;-70.99318;5.000;31.8483;31.8360;21.6611;21.6394;236.981;229.851;219.96928;219.46420;22.5830;22.6277;1525.00;1525.10;0.596;0.274;39;0.0000e+00
1094;208.151505;45.546;6.047;21.3859;21.4078;0.0219;4.539722;4.540889;0.002384;4.1645;0.9087;79.6784;0.1512;0.4213;1.4982;29.96;0.9965;2.6189;2.6189;3.1666;3.1666;0.1515;7.7493e-01;4.5571e+01;0.0000;1.7005e+00;1;41.06818;-70.99318;6.000;31.8853;31.8782;22.0212;22.0099;240.433;234.922;224.58075;224.10080;21.3847;21.4066;1521.90;1521.95;0.553;0.334;45;0.0000e+00
1132;208.151535;47.113;7.055;20.8305;20.8631;0.0326;4.498703;4.499696;0.005332;4.1588;0.9143;79.5675;0.1554;0.4467;1.4719;29.44;0.7994;2.6977;2.6977;3.3151;3.3151;0.1508;4.6068e-01;2.7091e+01;0.0000;1.7005e+00;1;41.06818;-70.99318;7.000;31.9750;31.9584;22.2380;22.2168;259.927;253.346;226.69458;226.22977;20.8292;20.8618;1520.50;1520.58;0.720;0.391;33;0.0000e+00
1167;208.151550;48.571;8.063;17.9412;18.0691;0.1279;4.248618;4.255989;0.018081;4.1125;0.9598;78.6676;0.1851;0.6247;1.4232;28.46;0.6599;2.7678;2.7678;3.3213;3.3214;0.1220;3.1252e-01;1.8379e+01;0.0000;1.7005e+00;1;41.06818;-70.99316;8.000;32.1426;32.1052;23.0913;23.0319;279.729;263.917;238.92674;238.56424;17.9399;18.0678;1512.43;1512.77;0.577;0.444;42;0.0000e+00
1222;208.151581;50.865;9.071;15.8854;16.4337;0.5483;4.063598;4.136890;0.075586;4.1287;0.9438;78.9824;0.2108;0.7786;1.3280;26.56;0.5231;2.8269;2.8269;3.4251;3.4252;0.1542;2.0121e-01;1.1832e+01;0.0000;1.7005e+00;1;41.06818;-70.99315;9.000;32.1917;32.3956;23.6154;23.6418;294.749;282.060;248.26909;247.99429;15.8840;16.4322;1506.35;1508.22;0.451;0.489;54;0.0000e+00
1262;208.151596;52.541;10.078;15.3688;15.3686;-0.0002;4.016858;4.017265;0.001370;4.1806;0.8930;79.9915;0.2000;0.7138;1.3040;26.08;0.4013;2.8259;2.8259;3.4384;3.4384;0.1516;1.3150e-01;7.7332e+00;0.0000;1.7005e+00;1;41.06818;-70.99314;10.000;32.1971;32.2009;23.7325;23.7353;294.251;285.233;250.80106;250.55301;15.3673;15.3671;1504.75;1504.75;0.651;0.532;36;0.0000e+00
1302;208.151611;54.213;11.086;15.1204;15.1717;0.0513;3.995801;3.999426;0.005366;4.1972;0.8770;80.3128;0.1982;0.7030;1.2429;24.86;0.3046;2.8036;2.8036;3.4213;3.4213;0.1517;8.7146e-02;5.1248e+00;0.0000;1.7005e+00;1;41.06818;-70.99314;11.000;32.2120;32.2024;23.7978;23.7793;291.021;282.746;252.00790;251.77307;15.1187;15.1700;1503.99;1504.15;0.576;0.573;43;0.0000e+00
1342;208.151627;55.861;12.094;14.4270;14.5142;0.0872;3.934258;3.939913;0.008500;4.2124;0.8623;80.6085;0.1989;0.7071;1.2004;24.01;0.2092;2.7826;2.7826;3.3985;3.3985;0.1517;5.3199e-02;3.1284e+00;0.0000;1.7005e+00;1;41.06816;-70.99314;12.000;32.2280;32.2071;23.9575;23.9231;295.381;286.641;255.47662;255.27995;14.4252;14.5124;1501.81;1502.06;0.657;0.614;36;0.0000e+00
1379;208.151642;57.412;13.102;13.5988;13.7934;0.1946;3.860904;3.875361;0.017517;4.2062;0.8682;80.4892;0.2114;0.7823;1.1465;22.93;0.1193;2.7826;2.7826;3.4067;3.4067;0.1516;2.6654e-02;1.5675e+00;0.0000;1.7005e+00;1;41.06816;-70.99314;13.000;32.2454;32.2158;24.1409;24.0786;301.061;292.163;259.74646;259.59857;13.5970;13.7916;1499.14;1499.74;0.633;0.653;39;0.0000e+00
1416;208.151672;58.943;14.110;13.2589;13.2773;0.0184;3.830576;3.832077;0.002484;4.2105;0.8641;80.5725;0.2155;0.8069;1.1010;22.02;0.0413;2.7785;2.7785;3.4122;3.4122;0.1441;7.5090e-03;4.4158e-01;0.0000;1.7005e+00;1;41.06816;-70.99314;14.000;32.2494;32.2478;24.2122;24.2074;301.592;294.465;261.53537;261.40823;13.2570;13.2754;1498.03;1498.09;0.721;0.690;33;0.0000e+00
1448;208.151688;60.271;15.118;12.9940;13.0166;0.0226;3.807224;3.808571;0.003132;4.2028;0.8715;80.4223;0.2183;0.8238;1.0610;21.22;0.0056;2.7617;2.7617;3.3874;3.3874;0.1195;1.1661e-04;6.8573e-03;0.0000;1.7005e+00;1;41.06816;-70.99312;15.000;32.2544;32.2479;24.2682;24.2588;298.644;290.014;262.94885;262.83853;12.9920;13.0145;1497.17;1497.24;0.727;0.727;33;0.0000e+00
1489;208.151703;62.015;16.126;12.6613;12.7010;0.0397;3.778473;3.783065;0.006014;4.1565;0.9165;79.5234;0.2464;0.9926;0.9820;19.64;0.0051;2.7245;2.7246;3.3328;3.3329;0.1510;1.0000e-12;5.8807e-11;0.0000;1.7005e+00;1;41.06816;-70.99312;16.000;32.2658;32.2755;24.3416;24.3414;294.581;286.713;264.73373;264.64505;12.6592;12.6989;1496.08;1496.22;0.490;0.764;51;0.0000e+00
1543;208.151733;64.252;17.134;12.2013;12.2494;0.0482;3.737846;3.742756;0.005722;4.0949;0.9772;78.3265;0.2994;1.3103;0.9247;18.49;0.0052;2.6731;2.6731;3.2778;3.2778;0.1514;1.0000e-12;5.8807e-11;0.0000;1.7005e+00;1;41.06816;-70.99312;17.000;32.2725;32.2781;24.4340;24.4294;290.394;283.081;267.26001;267.20224;12.1991;12.2472;1494.54;1494.71;0.363;0.799;71;0.0000e+00
