Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
866;209.886383;36.047;3.023;23.5061;23.5066;0.0005;4.835351;4.835504;0.000174;4.5757;0.5657;86.8122;0.0861;0.0306;0.3895;7.79;4.0257;2.5757;2.5757;3.0972;3.0972;0.1448;9.6191e+02;4.2845e+01;0.0000;2.2452e+03;1;40.09842;-70.88105;3.000;32.5963;32.5971;21.9666;21.9671;224.772;217.639;215.40199;214.88457;23.5055;23.5060;1528.16;1528.17;0.077;0.191;1125;0.0000e+00
1466;209.886673;61.046;4.031;23.5219;23.5227;0.0008;4.836907;4.837061;0.000296;4.5754;0.5660;86.8067;0.0863;0.0319;0.3106;6.21;3.9167;2.5762;2.5762;3.0967;3.0967;0.1378;7.2722e+02;3.2439e+01;0.0000;2.2420e+03;1;40.09840;-70.88100;4.000;32.5961;32.5967;21.9620;21.9622;224.942;217.747;215.34378;214.82613;23.5211;23.5218;1528.22;1528.22;0.258;0.355;100;0.0000e+00
1509;209.886703;62.840;5.039;23.2765;23.3192;0.0427;4.814159;4.818145;0.004000;4.5700;0.5707;86.7028;0.0882;0.0431;0.3443;6.89;3.8746;2.5781;2.5781;3.1049;3.1049;0.1500;6.6261e+02;2.9577e+01;0.0000;2.2402e+03;1;40.09840;-70.88100;5.000;32.6045;32.6032;22.0390;22.0258;225.994;219.148;216.24486;215.73093;23.2755;23.3181;1527.62;1527.73;0.301;0.407;81;0.0000e+00
1586;209.886734;66.036;6.046;23.0576;23.1314;0.0738;4.797407;4.802548;0.006463;4.5628;0.5771;86.5649;0.0894;0.0501;0.0063;0.13;3.7930;2.5929;2.5929;3.1264;3.1264;0.1514;5.3998e+02;2.4088e+01;0.0000;2.2417e+03;1;40.09840;-70.88100;6.000;32.6388;32.6233;22.1277;22.0948;229.369;222.369;217.01654;216.50635;23.0564;23.1302;1527.12;1527.29;0.531;0.465;45;0.0000e+00
1631;209.886765;67.905;7.054;23.0516;23.0383;-0.0133;4.820632;4.818162;-0.003743;4.5592;0.5804;86.4944;0.0896;0.0518;0.0224;0.45;3.7994;2.6025;2.6025;3.1497;3.1497;0.1514;5.5998e+02;2.4885e+01;0.0000;2.2503e+03;1;40.09840;-70.88100;7.000;32.8199;32.8110;22.2667;22.2638;229.900;224.624;216.78166;216.27251;23.0501;23.0369;1527.32;1527.27;0.420;0.522;60;0.0000e+00
1696;209.886795;70.610;8.062;23.3932;23.3507;-0.0425;4.958336;4.941282;-0.021283;4.5559;0.5833;86.4320;0.0901;0.0543;0.0228;0.46;3.7218;2.6315;2.6316;3.1947;3.1947;0.1273;4.6013e+02;2.0523e+01;0.0000;2.2412e+03;1;40.09840;-70.88099;8.000;33.6117;33.5141;22.7683;22.7066;231.072;225.679;214.39951;213.88940;23.3916;23.3491;1529.07;1528.85;0.410;0.576;58;0.0000e+00
1752;209.886810;72.954;9.070;23.1902;23.1839;-0.0063;5.039506;5.042572;0.000382;4.5575;0.5819;86.4620;0.0883;0.0436;0.0256;0.51;3.6706;2.6408;2.6408;3.1923;3.1923;0.1517;4.0998e+02;1.8360e+01;0.0000;2.2338e+03;1;40.09840;-70.88098;9.000;34.3871;34.4155;23.4145;23.4378;231.144;224.714;214.06389;213.56125;23.1883;23.1821;1529.42;1529.43;0.412;0.623;59;0.0000e+00
1807;209.886841;75.262;10.078;22.9249;22.9449;0.0200;5.063057;5.064211;0.001741;4.5585;0.5809;86.4825;0.0868;0.0347;0.6396;12.79;3.6415;2.6543;2.6544;3.2147;3.2147;0.1514;3.8039e+02;1.6918e+01;0.0000;2.2484e+03;1;40.09840;-70.88098;10.000;34.7768;34.7699;23.7865;23.7755;233.009;226.877;214.49738;214.00134;22.9229;22.9428;1529.18;1529.22;0.498;0.666;49;0.0000e+00
1851;209.886871;77.102;11.085;22.8295;22.8295;0.0000;5.062231;5.062388;-0.000108;4.5571;0.5822;86.4555;0.0896;0.0516;2.0299;40.60;3.6140;2.6557;2.6557;3.2152;3.2152;0.1514;3.5628e+02;1.5879e+01;0.0000;2.2436e+03;1;40.09840;-70.88098;11.000;34.8459;34.8472;23.8664;23.8673;232.989;227.146;214.75363;214.25963;22.8272;22.8272;1529.03;1529.03;0.537;0.707;44;0.0000e+00
1909;209.886887;79.483;12.093;22.8150;22.8190;0.0040;5.067208;5.064524;-0.002828;4.5572;0.5821;86.4560;0.0902;0.0550;0.4091;8.18;3.5636;2.6535;2.6535;3.2165;3.2165;0.1515;3.1799e+02;1.4166e+01;0.0000;2.2447e+03;1;40.09838;-70.88098;12.000;34.8957;34.8717;23.9083;23.8890;232.909;226.942;214.73750;214.24406;22.8125;22.8165;1529.06;1529.05;0.374;0.748;66;0.0000e+00
