Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
790;208.794739;32.861;3.023;25.0502;25.0481;-0.0021;4.874384;4.874273;-0.000109;4.2322;0.8463;80.9930;0.1166;0.2137;1.6660;33.32;4.2006;2.5706;2.5706;3.0777;3.0777;0.1480;1.4385e+03;5.9498e+01;0.0000;2.4202e+03;1;40.51291;-70.88057;3.000;31.7767;31.7774;20.8926;20.8937;219.349;211.755;210.93416;210.39624;25.0495;25.0474;1531.11;1531.11;0.045;0.380;919;0.0000e+00
1304;208.794998;54.309;4.031;25.0525;25.0516;-0.0009;4.874772;4.874767;-0.000021;4.3218;0.7586;82.7349;0.1209;0.2395;2.7611;55.22;4.1196;2.5701;2.5701;3.0801;3.0801;0.1421;1.1526e+03;4.7237e+01;0.0000;2.4413e+03;1;40.51283;-70.88045;4.000;31.7777;31.7783;20.8927;20.8934;219.332;212.034;210.92476;210.38684;25.0516;25.0507;1531.13;1531.13;0.193;0.668;120;0.0000e+00
1449;208.795059;60.351;5.039;25.0588;25.0575;-0.0013;4.875404;4.875365;0.000060;4.3408;0.7403;83.1042;0.1218;0.2447;3.2772;65.54;4.0561;2.5707;2.5707;3.0838;3.0838;0.1523;9.9071e+02;4.1191e+01;0.0000;2.4043e+03;1;40.51280;-70.88042;5.000;31.7776;31.7782;20.8907;20.8916;219.385;212.235;210.90240;210.36444;25.0577;25.0564;1531.17;1531.16;0.513;0.765;43;0.0000e+00
1550;208.795105;64.536;6.047;25.0520;25.0508;-0.0012;4.874918;4.874902;-0.000008;4.3395;0.7415;83.0790;0.1240;0.2581;2.9610;59.22;4.0036;2.5681;2.5681;3.0929;3.0929;0.1360;8.7842e+02;4.1348e+01;0.0000;2.1279e+03;1;40.51280;-70.88040;6.000;31.7785;31.7792;20.8935;20.8944;219.190;213.255;210.92532;210.38741;25.0507;25.0495;1531.17;1531.17;0.146;0.842;104;0.0000e+00
1620;208.795151;67.478;7.054;24.9986;24.9972;-0.0013;4.870703;4.870676;0.000054;4.3371;0.7438;83.0323;0.1257;0.2682;3.5789;71.58;3.9561;2.5675;2.5675;3.0917;3.0917;0.1269;7.8959e+02;3.3045e+01;0.0000;2.3891e+03;1;40.51278;-70.88039;7.000;31.7849;31.7856;20.9144;20.9154;219.281;213.240;211.10640;210.56886;24.9971;24.9957;1531.06;1531.06;0.249;0.917;99;0.0000e+00
1690;208.795181;70.384;8.062;24.7810;24.7944;0.0134;4.854193;4.854790;0.001763;4.3301;0.7503;82.8960;0.1305;0.2969;2.8358;56.72;3.8834;2.5738;2.5738;3.0999;3.0999;0.1516;6.6489e+02;2.7424e+01;0.0000;2.4247e+03;1;40.51278;-70.88037;8.000;31.8167;31.8116;21.0035;20.9957;220.753;214.385;211.84009;211.30434;24.7793;24.7927;1530.58;1530.61;0.634;0.993;35;0.0000e+00
1772;208.795212;73.788;9.070;24.3891;24.4092;0.0201;4.824143;4.825681;0.002280;4.3147;0.7648;82.5964;0.1357;0.3282;3.6965;73.93;3.8564;2.5661;2.5661;3.0958;3.0958;0.1238;6.2366e+02;2.5873e+01;0.0000;2.4105e+03;1;40.51276;-70.88036;9.000;31.8723;31.8694;21.1617;21.1536;221.677;215.830;213.17580;212.64383;24.3872;24.4073;1529.69;1529.74;0.182;1.063;100;0.0000e+00
1849;208.795258;77.003;10.078;23.5090;23.5415;0.0325;4.759339;4.761571;0.003684;4.3312;0.7494;82.9164;0.1368;0.3346;3.5385;70.77;3.8024;2.5818;2.5818;3.1196;3.1196;0.1351;5.5049e+02;2.2746e+01;0.0000;2.4200e+03;1;40.51276;-70.88034;10.000;32.0187;32.0121;21.5290;21.5146;227.030;221.034;216.20648;215.68608;23.5069;23.5394;1527.66;1527.74;0.291;1.129;83;0.0000e+00
1938;208.795303;80.724;11.086;22.0984;22.2066;0.1083;4.646691;4.654675;0.011119;4.3037;0.7753;82.3821;0.1469;0.3955;3.4641;69.28;3.7773;2.6563;2.6563;3.2305;3.2305;0.1531;5.2193e+02;2.1967e+01;0.0000;2.3723e+03;1;40.51275;-70.88032;11.000;32.1896;32.1712;22.0571;22.0131;245.571;238.858;221.33063;220.83621;22.0962;22.2045;1524.21;1524.48;0.321;1.190;77;0.0000e+00
2000;208.795334;83.297;12.094;20.7905;20.9179;0.1274;4.524908;4.535815;0.012684;4.2271;0.8483;80.8941;0.1678;0.5207;3.4356;68.71;3.7071;2.7156;2.7156;3.2991;3.2991;0.1139;4.4369e+02;1.8479e+01;0.0000;2.4012e+03;1;40.51274;-70.88031;12.000;32.2112;32.2019;22.4271;22.3860;255.035;248.492;226.52573;226.06409;20.7882;20.9156;1520.73;1521.07;0.299;1.245;84;0.0000e+00
2081;208.795364;86.677;13.101;19.5937;19.6371;0.0434;4.414776;4.414688;0.007511;4.2071;0.8674;80.5054;0.1831;0.6124;3.1914;63.83;3.6754;2.8319;2.8319;3.4842;3.4843;0.1563;4.1176e+02;1.7737e+01;0.0000;2.3229e+03;1;40.51273;-70.88028;13.000;32.2361;32.2021;22.7578;22.7217;281.570;274.385;231.46561;231.04037;19.5914;19.6347;1517.44;1517.54;0.523;1.298;45;0.0000e+00
2144;208.795395;89.288;14.109;17.3561;17.4842;0.1281;4.204826;4.217450;0.015675;4.1932;0.8808;80.2350;0.1933;0.6737;3.0231;60.46;3.6212;2.8876;2.8876;3.5330;3.5330;0.1446;3.6246e+02;1.5000e+01;0.0000;2.4178e+03;1;40.51272;-70.88027;14.000;32.2330;32.2391;23.3063;23.2808;294.163;285.711;241.33182;240.99110;17.3538;17.4819;1510.95;1511.34;0.274;1.346;98;0.0000e+00
