Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
419;209.624908;17.417;3.023;25.7225;25.7239;0.0014;5.281838;5.282092;0.000262;4.6075;0.5377;87.4226;0.0880;0.0422;0.0527;1.05;3.5684;2.5074;2.5074;2.9972;2.9972;0.1357;4.2074e+02;1.8128e+01;0.0000;2.3207e+03;1;39.76866;-70.78022;3.000;34.2621;34.2629;22.5629;22.5631;206.836;199.690;205.27267;204.74622;25.7218;25.7232;1535.39;1535.39;0.080;0.098;612;0.0000e+00
730;209.625061;30.366;4.031;25.7152;25.7160;0.0008;5.280843;5.281024;0.000196;4.6075;0.5377;87.4225;0.0886;0.0459;0.0155;0.31;3.3688;2.5084;2.5084;3.0032;3.0032;0.1513;2.0501e+02;8.8412e+00;0.0000;2.3188e+03;1;39.76861;-70.78024;4.000;34.2600;34.2608;22.5636;22.5640;206.944;200.286;205.30022;204.77376;25.7143;25.7151;1535.39;1535.39;0.277;0.210;92;0.0000e+00
808;209.625107;33.622;5.039;25.7172;25.7163;-0.0010;5.281100;5.281059;-0.000038;4.6072;0.5379;87.4178;0.0879;0.0414;0.0151;0.30;3.3394;2.5101;2.5101;3.0081;3.0081;0.1365;1.8976e+02;8.1945e+00;0.0000;2.3158e+03;1;39.76860;-70.78024;5.000;34.2601;34.2605;22.5631;22.5637;207.284;200.793;205.29329;204.76682;25.7161;25.7152;1535.41;1535.41;0.308;0.264;78;0.0000e+00
892;209.625137;37.104;6.046;25.7143;25.7143;-0.0001;5.280678;5.280741;0.000074;4.6053;0.5396;87.3803;0.0866;0.0338;0.2840;5.68;3.3430;2.5108;2.5108;3.0089;3.0089;0.1491;1.9101e+02;8.2343e+00;0.0000;2.3196e+03;1;39.76858;-70.78025;6.000;34.2588;34.2593;22.5632;22.5635;207.218;200.727;205.30469;204.77821;25.7130;25.7130;1535.42;1535.42;0.278;0.318;89;0.0000e+00
977;209.625183;40.677;7.054;25.7225;25.7214;-0.0011;5.281657;5.281591;-0.000105;4.6040;0.5407;87.3566;0.0854;0.0266;-0.0033;-0.07;3.2854;2.5106;2.5106;3.0107;3.0107;0.1515;1.6696e+02;7.2103e+00;0.0000;2.3156e+03;1;39.76856;-70.78026;7.000;34.2595;34.2599;22.5612;22.5618;207.350;200.747;205.27586;204.74937;25.7210;25.7198;1535.45;1535.45;0.458;0.371;51;0.0000e+00
1037;209.625214;43.151;8.062;25.6985;25.6965;-0.0020;5.280431;5.280364;-0.000036;4.6006;0.5437;87.2900;0.0847;0.0225;0.9920;19.84;3.2571;2.5108;2.5108;3.0114;3.0114;0.1497;1.5652e+02;6.7602e+00;0.0000;2.3152e+03;1;39.76856;-70.78026;8.000;34.2683;34.2693;22.5753;22.5767;207.379;201.155;205.34607;204.81970;25.6967;25.6947;1535.42;1535.42;0.301;0.424;87;0.0000e+00
1121;209.625244;46.658;9.069;25.6371;25.6393;0.0022;5.276378;5.276398;0.000212;4.5977;0.5462;87.2358;0.0852;0.0255;1.2706;25.41;3.2292;2.5129;2.5129;3.0258;3.0258;0.1320;1.4678e+02;6.3362e+00;0.0000;2.3166e+03;1;39.76856;-70.78027;9.000;34.2845;34.2830;22.6066;22.6047;208.010;202.657;205.53384;205.00772;25.6351;25.6373;1535.31;1535.32;0.372;0.477;64;0.0000e+00
1182;209.625275;49.204;10.077;25.5454;25.5455;0.0002;5.266310;5.266243;0.000304;4.5966;0.5472;87.2144;0.0844;0.0202;-0.0134;-0.27;3.2076;2.5210;2.5210;3.0347;3.0347;0.1520;1.3959e+02;6.0189e+00;0.0000;2.3192e+03;1;39.76855;-70.78028;10.000;34.2796;34.2790;22.6312;22.6306;209.274;203.695;205.85368;205.32779;25.5431;25.5433;1535.11;1535.11;0.398;0.529;61;0.0000e+00
1242;209.625305;51.713;11.085;25.4506;25.4525;0.0019;5.255312;5.255624;0.000496;4.5961;0.5476;87.2049;0.0865;0.0331;1.3433;26.87;3.2123;2.5253;2.5253;3.0402;3.0402;0.1515;1.4125e+02;6.1110e+00;0.0000;2.3114e+03;1;39.76854;-70.78028;11.000;34.2701;34.2710;22.6531;22.6532;210.148;204.335;206.19075;205.66513;25.4482;25.4501;1534.89;1534.89;0.400;0.582;63;0.0000e+00
1295;209.625336;53.906;12.093;25.3717;25.3781;0.0063;5.245992;5.246655;0.001068;4.5933;0.5502;87.1496;0.0862;0.0314;1.0151;20.30;3.1800;2.5404;2.5404;3.0682;3.0682;0.1515;1.3108e+02;5.6577e+00;0.0000;2.3168e+03;1;39.76854;-70.78028;12.000;34.2609;34.2610;22.6704;22.6685;212.883;208.064;206.47398;205.94864;25.3691;25.3754;1534.71;1534.72;0.471;0.634;49;0.0000e+00
1356;209.625366;56.457;13.101;25.2736;25.2592;-0.0144;5.278199;5.275975;-0.005614;4.5793;0.5625;86.8816;0.0894;0.0504;1.0974;21.95;3.1910;2.5589;2.5589;3.0898;3.0898;0.1325;1.3443e+02;5.8019e+00;0.0000;2.3170e+03;1;39.76852;-70.78028;13.000;34.5717;34.5663;22.9351;22.9354;214.057;208.574;206.39999;205.87694;25.2707;25.2564;1534.82;1534.78;0.407;0.686;60;0.0000e+00
1403;209.625381;58.409;14.108;25.3124;25.3305;0.0181;5.343980;5.345285;0.002061;4.5713;0.5696;86.7284;0.0931;0.0728;0.4850;9.70;3.1728;2.5789;2.5790;3.1134;3.1134;0.1444;1.2885e+02;5.5604e+00;0.0000;2.3173e+03;1;39.76852;-70.78030;14.000;35.0266;35.0223;23.2669;23.2581;216.282;210.851;205.66272;205.14221;25.3094;25.3274;1535.42;1535.46;0.568;0.733;41;0.0000e+00
1453;209.625412;60.503;15.116;24.6158;24.6359;0.0202;5.283041;5.283222;0.001560;4.5673;0.5731;86.6514;0.0947;0.0821;0.6570;13.14;3.1668;2.5995;2.5995;3.1443;3.1443;0.1515;1.2710e+02;5.4891e+00;0.0000;2.3154e+03;1;39.76851;-70.78030;15.000;35.1152;35.1008;23.5454;23.5285;220.398;214.797;207.95470;207.43918;24.6125;24.6327;1533.85;1533.89;0.418;0.778;60;0.0000e+00
1506;209.625443;62.724;16.124;24.4011;24.4097;0.0087;5.274317;5.274797;0.001160;4.5670;0.5734;86.6447;0.0930;0.0721;0.7169;14.34;3.1469;2.6142;2.6142;3.1579;3.1579;0.1515;1.2138e+02;5.2539e+00;0.0000;2.3103e+03;1;39.76850;-70.78030;16.000;35.2177;35.2145;23.6876;23.6826;223.125;217.354;208.56787;208.05478;24.3976;24.4063;1533.46;1533.48;0.541;0.821;44;0.0000e+00
1549;209.625458;64.506;17.132;24.0579;24.0967;0.0388;5.245524;5.248797;0.005332;4.5665;0.5738;86.6358;0.0940;0.0782;0.0291;0.58;3.1359;2.6401;2.6401;3.1924;3.1924;0.1515;1.1832e+02;5.1280e+00;0.0000;2.3074e+03;1;39.76848;-70.78030;17.000;35.2709;35.2650;23.8302;23.8142;227.156;220.889;209.71037;209.20122;24.0543;24.0931;1532.69;1532.78;0.546;0.863;44;0.0000e+00
