Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
1463;208.599075;60.910;3.023;24.2586;24.2587;0.0001;4.790299;4.790395;0.000097;4.2557;0.8208;81.4494;0.1434;0.3741;3.2031;64.06;3.9314;2.5994;2.5994;3.1221;3.1221;0.1301;7.5686e+02;3.7967e+01;0.0000;2.0236e+03;1;40.69379;-70.77449;3.000;31.7159;31.7166;21.0818;21.0823;225.605;218.296;213.86467;213.33313;24.2580;24.2580;1529.10;1529.10;0.091;0.479;1288;0.0000e+00
2162;208.599411;90.044;4.031;24.2605;24.2625;0.0020;4.790419;4.790674;0.000262;4.2572;0.8193;81.4784;0.1454;0.3864;3.1691;63.38;3.7819;2.5981;2.5981;3.1270;3.1270;0.1343;5.2588e+02;2.4956e+01;0.0000;2.1074e+03;1;40.69368;-70.77456;4.000;31.7152;31.7156;21.0807;21.0805;225.556;218.758;213.85881;213.32724;24.2596;24.2617;1529.12;1529.13;0.339;0.723;73;0.0000e+00
2227;208.599442;92.757;5.039;24.2574;24.2568;-0.0006;4.790235;4.790289;0.000077;4.2560;0.8204;81.4564;0.1470;0.3961;3.1287;62.57;3.6678;2.5995;2.5995;3.1236;3.1236;0.1519;4.0436e+02;2.1940e+01;0.0000;1.8409e+03;1;40.69368;-70.77457;5.000;31.7157;31.7165;21.0821;21.0829;225.701;218.442;213.86928;213.33774;24.2564;24.2558;1529.13;1529.13;0.362;0.790;67;0.0000e+00
2302;208.599472;95.857;6.047;24.2665;24.2605;-0.0060;4.790963;4.790615;-0.000372;4.2558;0.8206;81.4521;0.1481;0.4028;3.0475;60.95;3.5959;2.6008;2.6008;3.1302;3.1302;0.1526;3.4208e+02;2.0142e+01;0.0000;1.6981e+03;1;40.69366;-70.77458;6.000;31.7144;31.7161;21.0785;21.0815;225.896;219.165;213.83803;213.30638;24.2652;24.2592;1529.17;1529.15;0.318;0.857;76;0.0000e+00
2380;208.599518;99.126;7.055;24.2632;24.2563;-0.0069;4.790760;4.790343;-0.000401;4.2557;0.8207;81.4503;0.1492;0.4089;3.0089;60.18;3.5252;2.5920;2.5920;3.1227;3.1227;0.1525;2.9048e+02;1.7000e+01;0.0000;1.7090e+03;1;40.69365;-70.77458;7.000;31.7149;31.7167;21.0799;21.0833;224.247;218.044;213.84921;213.31761;24.2617;24.2548;1529.18;1529.16;0.281;0.925;88;0.0000e+00
2462;208.599548;102.532;8.062;23.5649;23.5942;0.0293;4.743727;4.744184;0.001995;4.2647;0.8122;81.6247;0.1545;0.4408;2.9506;59.01;3.4338;2.5882;2.5882;3.1232;3.1232;0.1371;2.3581e+02;1.3997e+01;0.0000;1.6844e+03;1;40.69364;-70.77458;8.000;31.8625;31.8448;21.3934;21.3715;228.374;221.758;216.23405;215.71277;23.5632;23.5925;1527.59;1527.64;0.293;0.992;82;0.0000e+00
2543;208.599594;105.898;9.070;21.9080;22.0124;0.1044;4.631450;4.636887;0.007977;4.3543;0.7277;83.3663;0.1423;0.3678;2.9046;58.09;3.3432;2.6568;2.6568;3.2109;3.2109;0.1530;1.9099e+02;1.0923e+01;0.0000;1.7473e+03;1;40.69363;-70.77460;9.000;32.2133;32.1784;22.1280;22.0723;243.589;235.814;222.03154;221.54109;21.9062;22.0106;1523.71;1523.94;0.376;1.052;63;0.0000e+00
2618;208.599625;109.031;10.078;21.3371;21.4185;0.0813;4.579796;4.586990;0.008545;4.3102;0.7691;82.5091;0.1633;0.4937;2.8456;56.91;3.2689;2.7099;2.7099;3.2927;3.2927;0.1525;1.6069e+02;9.5508e+00;0.0000;1.6830e+03;1;40.69362;-70.77460;10.000;32.2353;32.2309;22.3003;22.2749;252.640;245.444;224.26080;223.78409;21.3352;21.4165;1522.22;1522.43;0.283;1.109;85;0.0000e+00
2704;208.599670;112.604;11.086;19.8264;20.0417;0.2153;4.436460;4.456015;0.022757;4.2046;0.8698;80.4577;0.2037;0.7364;2.7974;55.95;3.2299;2.8059;2.8059;3.4128;3.4129;0.1420;1.4701e+02;8.9241e+00;0.0000;1.6489e+03;1;40.69361;-70.77462;11.000;32.2351;32.2284;22.6990;22.6379;272.228;263.597;230.45580;230.02209;19.8244;20.0397;1518.08;1518.67;0.282;1.163;87;0.0000e+00
2779;208.599701;115.734;12.094;18.7485;18.7962;0.0477;4.334587;4.338603;0.005419;4.1832;0.8905;80.0413;0.2115;0.7832;2.7575;55.15;3.1863;2.8524;2.8524;3.4850;3.4850;0.1466;1.3303e+02;8.1622e+00;0.0000;1.6297e+03;1;40.69360;-70.77464;12.000;32.2318;32.2278;22.9695;22.9545;280.420;273.112;235.07391;234.67699;18.7464;18.7942;1515.02;1515.16;0.296;1.213;82;0.0000e+00
2856;208.599747;118.945;13.102;17.7366;17.7611;0.0245;4.242274;4.243168;0.004245;4.1824;0.8913;80.0261;0.2187;0.8265;2.7079;54.16;3.1252;2.8845;2.8846;3.5299;3.5299;0.1527;1.1553e+02;7.2253e+00;0.0000;1.6007e+03;1;40.69360;-70.77466;13.000;32.2513;32.2395;23.2312;23.2164;290.313;282.966;239.54323;239.18590;17.7344;17.7589;1512.10;1512.16;0.371;1.261;63;0.0000e+00
2940;208.599792;122.448;14.109;16.5816;16.7107;0.1291;4.138962;4.148714;0.011265;4.2204;0.8546;80.7637;0.2095;0.7710;2.6361;52.72;3.0939;2.9068;2.9068;3.5709;3.5710;0.1528;1.0744e+02;6.1041e+00;0.0000;1.7586e+03;1;40.69358;-70.77467;14.000;32.2865;32.2672;23.5301;23.4853;300.297;292.986;244.79900;244.49193;16.5793;16.7085;1508.69;1509.06;0.273;1.307;87;0.0000e+00
3013;208.599823;125.501;15.117;15.5199;15.6037;0.0838;4.041333;4.047989;0.009096;4.2195;0.8554;80.7465;0.2074;0.7581;2.7762;55.52;3.0612;2.9246;2.9246;3.5911;3.5911;0.1370;9.9649e+01;5.3055e+00;0.0000;1.8821e+03;1;40.69357;-70.77468;15.000;32.2894;32.2800;23.7698;23.7442;307.939;299.511;249.91397;249.65926;15.5176;15.6014;1505.41;1505.66;0.296;1.349;82;0.0000e+00
3096;208.599854;128.979;16.125;13.8569;13.8899;0.0330;3.895100;3.896360;0.004678;4.2647;0.8122;81.6243;0.1958;0.6890;2.5396;50.79;3.0009;2.9574;2.9575;3.6483;3.6484;0.1533;8.6816e+01;5.3456e+00;0.0000;1.6225e+03;1;40.69356;-70.77468;16.000;32.3436;32.3275;24.1638;24.1445;324.752;317.416;258.23038;258.06830;13.8546;13.8876;1500.15;1500.23;0.331;1.389;73;0.0000e+00
3169;208.599899;132.002;17.133;12.9867;13.0363;0.0496;3.820017;3.824025;0.005256;4.3039;0.7750;82.3863;0.1836;0.6158;2.4945;49.89;2.9380;2.9660;2.9660;3.6643;3.6644;0.1528;7.5052e+01;4.8035e+00;0.0000;1.5624e+03;1;40.69354;-70.77470;17.000;32.3805;32.3759;24.3670;24.3538;329.816;322.385;262.76114;262.65277;12.9844;13.0340;1497.33;1497.49;0.299;1.426;81;0.0000e+00
3251;208.599930;135.426;18.141;12.5083;12.5340;0.0257;3.778548;3.780703;0.003112;4.3244;0.7557;82.7848;0.1832;0.6135;2.4473;48.95;2.8878;2.9551;2.9551;3.6622;3.6623;0.1475;6.6835e+01;4.2322e+00;0.0000;1.5796e+03;1;40.69353;-70.77472;18.000;32.3972;32.3956;24.4728;24.4666;330.615;324.506;265.32672;265.24960;12.5059;12.5316;1495.75;1495.84;0.307;1.461;78;0.0000e+00
3336;208.599976;138.973;19.149;12.0282;12.1255;0.0973;3.734210;3.742793;0.009642;4.3365;0.7443;83.0208;0.1904;0.6566;2.3944;47.89;2.8359;2.9256;2.9257;3.6224;3.6225;0.1398;5.9274e+01;3.7476e+00;0.0000;1.5824e+03;1;40.69352;-70.77472;19.000;32.3865;32.3847;24.5551;24.5355;329.912;323.010;268.00510;267.96045;12.0258;12.1231;1494.12;1494.45;0.315;1.495;78;0.0000e+00
3404;208.600006;141.787;20.157;11.5090;11.6107;0.1018;3.686228;3.695016;0.009502;4.3346;0.7461;82.9837;0.1990;0.7081;2.3424;46.85;2.7866;2.9135;2.9135;3.6147;3.6148;0.1516;5.2944e+01;3.3045e+00;0.0000;1.6024e+03;1;40.69351;-70.77473;20.000;32.3725;32.3693;24.6394;24.6185;332.832;326.568;270.96930;270.96130;11.5065;11.6082;1492.32;1492.67;0.289;1.529;85;0.0000e+00
