Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
1037;207.901718;43.150;3.023;22.9040;22.8149;-0.0892;4.691088;4.683499;-0.007917;4.2101;0.8645;80.5641;0.1232;0.2533;2.6285;52.57;4.0299;2.6608;2.6608;3.2211;3.2211;0.1446;1.0119e+03;4.8122e+01;0.0000;2.1027e+03;1;40.86085;-70.88260;3.000;31.9418;31.9486;21.6428;21.6724;237.398;231.527;218.59631;218.08531;22.9034;22.8143;1525.91;1525.68;0.063;0.178;1546;0.0000e+00
1742;207.902054;72.548;4.031;22.9981;23.0418;0.0437;4.700696;4.704424;0.004428;4.2113;0.8633;80.5880;0.1242;0.2592;2.5795;51.59;3.8784;2.6554;2.6554;3.2204;3.2204;0.1488;6.6379e+02;3.1581e+01;0.0000;2.1016e+03;1;40.86071;-70.88253;4.000;31.9466;31.9433;21.6204;21.6056;236.094;230.559;218.22290;217.70993;22.9973;23.0410;1526.18;1526.29;0.223;0.334;117;0.0000e+00
1774;207.902069;73.882;5.039;22.7777;22.8274;0.0496;4.680238;4.684119;0.005320;4.2208;0.8541;80.7728;0.1228;0.2506;2.5434;50.87;3.8108;2.6223;2.6223;3.1780;3.1780;0.1325;5.6476e+02;2.6999e+01;0.0000;2.0919e+03;1;40.86070;-70.88254;5.000;31.9504;31.9439;21.6852;21.6664;234.695;228.306;219.06380;218.55504;22.7767;22.8264;1525.62;1525.75;0.308;0.386;82;0.0000e+00
1833;207.902100;76.320;6.047;20.1708;20.2907;0.1199;4.441308;4.447789;0.016678;4.1656;0.9078;79.6994;0.1317;0.3041;2.5296;50.59;3.7141;2.7007;2.7007;3.2673;3.2673;0.1483;4.5014e+02;2.1445e+01;0.0000;2.0992e+03;1;40.86069;-70.88254;6.000;32.0120;31.9734;22.4363;22.3757;259.844;250.196;229.40981;228.96591;20.1697;20.2896;1518.68;1518.97;0.524;0.444;45;0.0000e+00
1886;207.902130;78.546;7.055;17.5659;17.6383;0.0724;4.200357;4.204533;0.010057;4.0761;0.9959;77.9606;0.1582;0.4633;2.4621;49.24;3.6507;2.7640;2.7640;3.3567;3.3567;0.1483;3.8791e+02;1.8455e+01;0.0000;2.1020e+03;1;40.86068;-70.88252;7.000;32.0312;32.0096;23.1018;23.0678;278.605;269.693;240.70128;240.35031;17.5647;17.6371;1511.23;1511.42;0.386;0.495;64;0.0000e+00
1949;207.902161;81.168;8.063;16.0297;16.0345;0.0048;4.063355;4.062711;0.002209;4.0978;0.9744;78.3813;0.1692;0.5294;2.4363;48.73;3.5687;2.7928;2.7928;3.4067;3.4067;0.1487;3.2115e+02;1.5388e+01;0.0000;2.0869e+03;1;40.86068;-70.88251;8.000;32.0726;32.0630;23.4907;23.4823;289.423;281.063;247.79163;247.50932;16.0285;16.0333;1506.64;1506.64;0.453;0.541;54;0.0000e+00
1997;207.902176;83.171;9.070;14.7703;14.8153;0.0450;3.958043;3.959898;0.005946;4.1852;0.8888;80.0796;0.1696;0.5315;2.4052;48.10;3.4724;2.8221;2.8221;3.4593;3.4593;0.1487;2.5784e+02;1.2335e+01;0.0000;2.0905e+03;1;40.86066;-70.88250;9.000;32.1607;32.1403;23.8323;23.8070;301.836;293.637;253.86885;253.65294;14.7690;14.8140;1502.78;1502.90;0.488;0.584;49;0.0000e+00
2048;207.902206;85.277;10.078;13.9321;13.9543;0.0222;3.890018;3.891068;0.002362;4.2303;0.8450;80.9566;0.1701;0.5347;2.3574;47.15;3.3897;2.8334;2.8334;3.4728;3.4728;0.1226;2.1313e+02;1.0171e+01;0.0000;2.0955e+03;1;40.86064;-70.88250;10.000;32.2362;32.2273;24.0663;24.0549;305.548;297.594;258.01126;257.84320;13.9307;13.9529;1500.17;1500.24;0.496;0.623;49;0.0000e+00
2097;207.902222;87.316;11.086;13.2903;13.3142;0.0239;3.835840;3.837479;0.003905;4.2542;0.8222;81.4205;0.1761;0.5707;2.3206;46.41;3.3064;2.8496;2.8496;3.5168;3.5168;0.1481;1.7559e+02;8.3960e+00;0.0000;2.0913e+03;1;40.86062;-70.88250;11.000;32.2731;32.2682;24.2240;24.2155;314.704;307.602;261.32962;261.20093;13.2888;13.3127;1498.11;1498.19;0.469;0.661;52;0.0000e+00
2149;207.902252;89.519;12.094;12.6845;12.7125;0.0279;3.783327;3.785673;0.003978;4.2711;0.8060;81.7501;0.1880;0.6418;2.2653;45.31;3.2326;2.8341;2.8342;3.4677;3.4678;0.1487;1.4802e+02;7.0899e+00;0.0000;2.0878e+03;1;40.86060;-70.88248;12.000;32.2937;32.2920;24.3586;24.3519;307.266;296.011;264.55597;264.46609;12.6829;12.7109;1496.12;1496.22;0.474;0.698;51;0.0000e+00
