Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
-9;209.060852;-0.412;2.015;23.5043;23.5042;-0.0000;4.808896;4.809681;0.000735;4.4197;0.6683;84.6359;0.0966;0.0937;0.0108;0.22;1.9957;2.5454;2.5454;3.0648;3.0648;0.1526;8.0101e+00;4.7105e+02;0.0000;1.7005e+00;1;40.22435;-70.87943;2.000;32.3982;32.4041;21.8172;21.8217;221.823;215.190;215.68658;215.16811;23.5039;23.5038;1527.93;1527.93;0.109;-0.001;44;0.0000e+00
115;209.060913;4.734;3.023;23.5400;23.5367;-0.0032;4.812300;4.812177;-0.000163;4.5571;0.5432;87.3076;0.0967;0.0940;0.0141;0.28;1.6163;2.5474;2.5474;3.0633;3.0633;0.1526;3.7163e+00;2.1855e+02;0.0000;1.7005e+00;1;40.22433;-70.87945;3.000;32.3974;32.3989;21.8064;21.8084;221.817;214.962;215.55534;215.03635;23.5393;23.5361;1528.03;1528.03;0.139;0.069;165;0.0000e+00
662;209.061172;27.548;4.031;23.5346;23.5366;0.0020;4.812265;4.812507;0.000227;4.5733;0.5286;87.6208;0.0978;0.1009;0.0135;0.27;1.3346;2.5501;2.5501;3.0699;3.0699;0.1526;1.8217e+00;1.0713e+02;0.0000;1.7005e+00;1;40.22426;-70.87933;4.000;32.4008;32.4012;21.8106;21.8103;222.124;215.557;215.57062;215.05171;23.5337;23.5357;1528.04;1528.05;0.177;0.316;151;0.0000e+00
763;209.061218;31.742;5.039;23.5632;23.5629;-0.0003;4.814265;4.814335;0.000059;4.5740;0.5280;87.6347;0.0967;0.0939;0.0219;0.44;1.2527;2.5484;2.5484;3.0684;3.0684;0.1526;1.4939e+00;8.7853e+01;0.0000;1.7005e+00;1;40.22424;-70.87932;5.000;32.3946;32.3954;21.7977;21.7984;221.761;214.919;215.47307;214.95374;23.5622;23.5619;1528.12;1528.12;0.470;0.420;55;0.0000e+00
791;209.061234;32.931;6.047;23.5641;23.5662;0.0021;4.814429;4.814703;0.000248;4.5730;0.5288;87.6164;0.0979;0.1014;0.0175;0.35;1.1238;2.5439;2.5439;3.0627;3.0627;0.1124;1.0735e+00;6.3128e+01;0.0000;1.7005e+00;1;40.22424;-70.87932;6.000;32.3949;32.3955;21.7977;21.7975;220.569;214.453;215.46941;214.95006;23.5629;23.5649;1528.14;1528.15;0.710;0.475;32;0.0000e+00
836;209.061264;34.791;7.054;23.5570;23.5649;0.0080;4.813801;4.814575;0.000838;4.5745;0.5275;87.6440;0.0976;0.0999;0.0216;0.43;0.9402;2.5343;2.5343;3.0597;3.0597;0.1499;6.8737e-01;4.0422e+01;0.0000;1.7005e+00;1;40.22424;-70.87930;7.000;32.3951;32.3951;21.8000;21.7977;221.621;215.909;215.49573;214.97649;23.5555;23.5635;1528.14;1528.16;0.437;0.535;60;0.0000e+00
891;209.061279;37.081;8.062;22.7759;22.9354;0.1595;4.760808;4.769852;0.013026;4.5696;0.5319;87.5495;0.0975;0.0990;0.6423;12.85;0.7959;2.5991;2.5991;3.1456;3.1456;0.1525;4.5664e-01;2.6854e+01;0.0000;1.7005e+00;1;40.22424;-70.87928;8.000;32.5682;32.5189;22.1534;22.0710;233.636;226.653;218.19484;217.68980;22.7743;22.9338;1526.34;1526.70;0.496;0.595;47;0.0000e+00
945;209.061310;39.330;9.070;21.5782;21.5838;0.0056;4.678247;4.678386;0.000629;4.5493;0.5499;87.1553;0.0979;0.1015;0.9810;19.62;0.6565;2.6338;2.6339;3.1901;3.1902;0.1526;3.1051e-01;1.8260e+01;0.0000;1.7005e+00;1;40.22423;-70.87928;9.000;32.8279;32.8247;22.6849;22.6809;240.366;233.706;222.43044;221.95103;21.5764;21.5821;1523.50;1523.52;0.404;0.649;61;0.0000e+00
1024;209.061356;42.630;10.078;21.2351;21.2450;0.0099;4.660197;4.660222;0.000944;4.5322;0.5652;86.8226;0.0993;0.1097;0.3230;6.46;0.5288;2.6581;2.6581;3.2313;3.2313;0.1462;2.0783e-01;1.2222e+01;0.0000;1.7005e+00;1;40.22422;-70.87925;10.000;32.9479;32.9405;22.8694;22.8611;245.108;239.459;223.61334;223.14311;21.2332;21.2431;1522.73;1522.75;0.252;0.700;97;0.0000e+00
1095;209.061386;45.564;11.085;19.9875;20.0280;0.0405;4.563074;4.564864;0.005809;4.5299;0.5672;86.7786;0.0997;0.1122;0.0249;0.50;0.4030;2.7322;2.7322;3.3310;3.3310;0.1366;1.3188e-01;7.7554e+00;0.0000;1.7005e+00;1;40.22422;-70.87924;11.000;33.1392;33.1219;23.3459;23.3221;260.749;252.991;228.40407;227.97069;19.9855;20.0260;1519.54;1519.63;0.490;0.748;46;0.0000e+00
