Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
519;208.462952;21.567;2.016;24.3456;24.3453;-0.0003;4.795486;4.795470;-0.000016;4.3306;0.7499;82.9056;0.1434;0.3743;3.2289;64.58;3.6472;2.5772;2.5772;3.0863;3.0863;0.1466;4.2371e+02;8.4193e+01;0.0000;5.5871e+02;1;40.69562;-70.88078;2.000;31.6931;31.6932;21.0389;21.0391;222.865;214.951;213.57970;213.04712;24.3452;24.3449;1529.27;1529.27;-0.022;0.170;1134;0.0000e+00
1186;208.463287;49.384;3.023;24.3469;24.3477;0.0008;4.795614;4.795737;0.000122;4.3380;0.7429;83.0497;0.1408;0.3586;3.2264;64.53;3.2431;2.5785;2.5785;3.0924;3.0924;0.1517;1.4963e+02;3.2947e+01;0.0000;4.5482e+02;1;40.69546;-70.88074;3.000;31.6929;31.6932;21.0384;21.0384;223.042;215.737;213.57535;213.04277;24.3463;24.3470;1529.29;1529.30;0.337;0.420;74;0.0000e+00
1234;208.463303;51.390;4.031;24.3470;24.3472;0.0002;4.795684;4.795756;0.000066;4.3388;0.7422;83.0655;0.1408;0.3586;3.2116;64.23;3.1139;2.5776;2.5776;3.0915;3.0915;0.1227;1.1323e+02;2.5129e+01;0.0000;4.5054e+02;1;40.69545;-70.88074;4.000;31.6930;31.6934;21.0385;21.0387;222.915;215.396;213.57472;213.04213;24.3462;24.3464;1529.31;1529.31;0.495;0.484;48;0.0000e+00
1288;208.463333;53.626;5.039;24.3475;24.3472;-0.0003;4.795767;4.795781;0.000022;4.3403;0.7408;83.0944;0.1422;0.3674;3.1501;63.00;3.0489;2.5785;2.5785;3.1004;3.1004;0.1519;9.6963e+01;2.1197e+01;0.0000;4.5755e+02;1;40.69544;-70.88074;5.000;31.6930;31.6933;21.0384;21.0388;223.185;216.507;213.57300;213.04041;24.3464;24.3461;1529.33;1529.33;0.401;0.552;62;0.0000e+00
1341;208.463348;55.820;6.047;24.3508;24.3494;-0.0013;4.796115;4.796051;-0.000072;4.3410;0.7401;83.1083;0.1405;0.3572;3.1246;62.49;2.9913;2.5796;2.5796;3.1069;3.1069;0.1516;8.4840e+01;1.8405e+01;0.0000;4.6096e+02;1;40.69544;-70.88074;6.000;31.6929;31.6934;21.0375;21.0382;223.257;217.071;213.56111;213.02849;24.3495;24.3482;1529.35;1529.35;0.499;0.620;47;0.0000e+00
1400;208.463379;58.277;7.055;24.3381;24.3355;-0.0025;4.794921;4.794732;-0.000145;4.3383;0.7427;83.0554;0.1419;0.3652;3.0504;61.01;2.9418;2.5827;2.5827;3.1156;3.1156;0.1516;7.5698e+01;1.6514e+01;0.0000;4.5848e+02;1;40.69542;-70.88074;7.000;31.6928;31.6932;21.0412;21.0422;223.805;217.691;213.60748;213.07498;24.3366;24.3340;1529.34;1529.33;0.384;0.688;65;0.0000e+00
1451;208.463409;60.427;8.062;24.3158;24.3184;0.0025;4.792920;4.793109;0.000441;4.3346;0.7461;82.9829;0.1461;0.3905;3.0444;60.89;2.8678;2.5845;2.5845;3.1193;3.1193;0.1515;6.3858e+01;1.3900e+01;0.0000;4.5932e+02;1;40.69541;-70.88074;8.000;31.6934;31.6930;21.0482;21.0472;223.735;217.895;213.68752;213.15524;24.3141;24.3167;1529.30;1529.31;0.533;0.756;43;0.0000e+00
1510;208.463440;62.859;9.070;24.1712;24.1726;0.0014;4.780008;4.780000;0.000618;4.3282;0.7521;82.8585;0.1484;0.4044;2.9651;59.30;2.8192;2.5870;2.5870;3.1275;3.1275;0.1325;5.7110e+01;1.2518e+01;0.0000;4.5637e+02;1;40.69540;-70.88074;9.000;31.6997;31.6987;21.0955;21.0943;226.535;220.890;214.20627;213.67558;24.1693;24.1707;1528.97;1528.97;0.351;0.823;71;0.0000e+00
1569;208.463470;65.328;10.078;23.1203;23.1958;0.0755;4.693861;4.698539;0.009925;4.2769;0.8007;81.8622;0.1707;0.5383;2.9548;59.10;2.7574;2.6673;2.6673;3.2242;3.2242;0.1519;4.9509e+01;1.0752e+01;0.0000;4.6042e+02;1;40.69538;-70.88074;10.000;31.8046;31.7855;21.4771;21.4412;240.985;232.684;217.98369;217.46881;23.1182;23.1937;1526.42;1526.60;0.499;0.889;47;0.0000e+00
1628;208.463486;67.808;11.086;21.8105;21.9779;0.1673;4.586740;4.600328;0.014430;4.1881;0.8858;80.1364;0.2272;0.8774;3.0356;60.71;2.7135;2.7090;2.7090;3.2778;3.2778;0.1516;4.4707e+01;9.7460e+00;0.0000;4.5877e+02;1;40.69538;-70.88074;11.000;31.9370;31.9193;21.9449;21.8854;251.491;243.528;222.82321;222.33368;21.8084;21.9757;1523.18;1523.60;0.340;0.950;74;0.0000e+00
