Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
609;208.084915;25.328;2.016;22.9901;22.9498;-0.0403;4.699829;4.696189;-0.003745;4.2018;0.8727;80.4036;0.1385;0.3452;2.0417;40.83;1.8673;2.6386;2.6386;3.1779;3.1779;0.1450;6.9565e+00;4.0909e+02;0.0000;1.7005e+00;1;41.06816;-70.77077;2.000;31.9465;31.9480;21.6225;21.6351;234.748;227.399;218.25294;217.74008;22.9897;22.9494;1526.12;1526.02;0.069;0.201;1005;0.0000e+00
1102;208.085144;45.875;3.023;23.0543;23.0488;-0.0055;4.705847;4.705647;-0.000699;4.2737;0.8036;81.7993;0.1369;0.3356;2.1807;43.61;1.3842;2.6354;2.6354;3.1663;3.1663;0.1497;1.9336e+00;1.1371e+02;0.0000;1.7005e+00;1;41.06814;-70.77076;3.000;31.9453;31.9478;21.6034;21.6069;234.408;226.175;218.01141;217.49747;23.0537;23.0482;1526.30;1526.29;0.408;0.388;63;0.0000e+00
1146;208.085175;47.723;4.031;22.6538;22.7581;0.1043;4.668758;4.678122;0.009561;4.2456;0.8304;81.2534;0.1421;0.3668;2.1211;42.42;1.2392;2.6219;2.6219;3.1567;3.1567;0.1494;1.4698e+00;8.6432e+01;0.0000;1.7005e+00;1;41.06814;-70.77074;4.000;31.9534;31.9489;21.7225;21.6898;234.732;226.768;219.52904;219.02240;22.6530;22.7573;1525.29;1525.56;0.305;0.444;85;0.0000e+00
1230;208.085205;51.191;5.039;20.1480;20.3337;0.1857;4.438293;4.443598;0.021662;4.0708;1.0033;77.8564;0.1741;0.5584;2.0817;41.63;1.1560;2.7199;2.7199;3.2900;3.2900;0.1247;1.1671e+00;6.8631e+01;0.0000;1.7005e+00;1;41.06814;-70.77074;5.000;32.0003;31.9007;22.4212;22.2956;259.888;250.906;229.72710;229.29027;20.1471;20.3328;1518.48;1518.87;0.418;0.503;56;0.0000e+00
1295;208.085236;53.910;6.047;16.9924;16.8770;-0.1154;4.139312;4.132397;-0.003826;3.9704;1.1025;75.9072;0.2192;0.8294;2.0356;40.71;1.0003;2.7610;2.7610;3.3380;3.3380;0.1513;7.9498e-01;4.6750e+01;0.0000;1.7005e+00;1;41.06814;-70.77072;6.000;31.9639;31.9958;23.1838;23.2396;281.934;271.222;243.48199;243.15599;16.9915;16.8761;1509.40;1509.13;0.323;0.553;74;0.0000e+00
1362;208.085281;56.689;7.055;15.3446;15.3336;-0.0110;3.990668;3.988033;-0.001383;4.0184;1.0539;76.8384;0.1990;0.7080;1.9982;39.96;0.8141;2.7817;2.7818;3.3858;3.3858;0.1498;4.7746e-01;2.8078e+01;0.0000;1.7005e+00;1;41.06814;-70.77072;7.000;31.9845;31.9699;23.5750;23.5660;290.382;282.491;251.27003;251.02104;15.3435;15.3326;1504.38;1504.33;0.391;0.597;64;0.0000e+00
1418;208.085297;59.039;8.063;15.0101;15.0506;0.0405;3.961361;3.964045;0.002435;4.0191;1.0531;76.8526;0.1986;0.7058;1.9542;39.08;0.6712;2.7737;2.7737;3.3937;3.3937;0.1497;3.2718e-01;1.9241e+01;0.0000;1.7005e+00;1;41.06814;-70.77072;8.000;31.9939;31.9850;23.6535;23.6379;290.543;282.620;252.93846;252.70770;15.0089;15.0494;1503.34;1503.46;0.363;0.640;68;0.0000e+00
1488;208.085342;61.973;9.071;14.7640;14.8547;0.0908;3.940453;3.947477;0.008921;4.0152;1.0571;76.7762;0.2076;0.7595;1.9113;38.23;0.5753;2.7618;2.7618;3.3843;3.3843;0.1256;2.3904e-01;1.4057e+01;0.0000;1.7005e+00;1;41.06814;-70.77072;9.000;32.0068;31.9957;23.7161;23.6881;291.832;284.869;254.15198;253.93457;14.7626;14.8534;1502.59;1502.86;0.478;0.683;50;0.0000e+00
1536;208.085358;63.976;10.078;14.4562;14.4522;-0.0040;3.918102;3.918243;0.000907;3.9653;1.1080;75.8070;0.2452;0.9851;1.8698;37.40;0.4615;2.7798;2.7798;3.4213;3.4213;0.1453;1.6377e-01;9.6306e+00;0.0000;1.7005e+00;1;41.06814;-70.77071;10.000;32.0573;32.0619;23.8198;23.8241;297.702;291.524;255.62810;255.42821;14.4547;14.4508;1501.67;1501.66;0.403;0.724;62;0.0000e+00
1599;208.085388;66.579;11.086;14.3321;14.3313;-0.0008;3.920347;3.920441;-0.000031;4.0060;1.0665;76.5980;0.2779;1.1812;1.8088;36.18;0.3511;2.7939;2.7939;3.4357;3.4357;0.1493;1.0762e-01;6.3287e+00;0.0000;1.7005e+00;1;41.06813;-70.77070;11.000;32.1803;32.1818;23.9406;23.9420;298.064;290.577;256.04404;255.85223;14.3305;14.3298;1501.43;1501.43;0.415;0.765;57;0.0000e+00
1657;208.085419;68.992;12.094;14.0828;14.0972;0.0144;3.903400;3.904294;0.002136;3.9924;1.0803;76.3330;0.2908;1.2586;1.7495;34.99;0.2432;2.8001;2.8001;3.4445;3.4445;0.1495;6.4414e-02;3.7880e+00;0.0000;1.7005e+00;1;41.06812;-70.77070;12.000;32.2325;32.2286;24.0325;24.0265;301.490;294.681;257.23697;257.06003;14.0811;14.0955;1500.70;1500.74;0.450;0.804;53;0.0000e+00
1717;208.085449;71.511;13.102;13.6968;13.7355;0.0387;3.872319;3.875816;0.003817;4.0839;0.9883;78.1121;0.2679;1.1215;1.6934;33.87;0.1434;2.7896;2.7896;3.4292;3.4292;0.1493;3.3035e-02;1.9427e+00;0.0000;1.7005e+00;1;41.06812;-70.77070;13.000;32.2690;32.2689;24.1396;24.1317;301.090;293.599;259.18195;259.02820;13.6950;13.7337;1499.49;1499.62;0.343;0.843;74;0.0000e+00
1774;208.085480;73.873;14.110;12.8762;12.9572;0.0810;3.802274;3.807314;0.009510;4.1904;0.8835;80.1822;0.2552;1.0449;1.6726;33.45;0.0522;2.8045;2.8045;3.4538;3.4539;0.1150;1.0295e-02;6.0540e-01;0.0000;1.7005e+00;1;41.06812;-70.77070;14.000;32.3084;32.2869;24.3326;24.3001;310.483;303.065;263.49356;263.39157;12.8743;12.9553;1496.82;1497.06;0.594;0.880;38;0.0000e+00
