Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
925;207.747742;38.511;4.031;21.3979;21.3820;-0.0159;4.550357;4.549060;-0.000859;4.1945;0.8795;80.2617;0.1240;0.2581;2.1300;42.60;4.1762;2.6995;2.6995;3.2835;3.2835;0.1416;1.3567e+03;5.8710e+01;0.0000;2.3109e+03;1;41.03028;-70.87926;4.000;31.9604;31.9621;22.0747;22.0802;248.625;242.737;224.42584;223.94617;21.3971;21.3812;1521.98;1521.94;0.092;0.141;196;0.0000e+00
1299;207.747925;54.076;5.039;21.4183;21.4046;-0.0137;4.551722;4.550751;-0.000839;4.1954;0.8787;80.2790;0.1256;0.2677;2.0842;41.68;4.1189;2.6976;2.6976;3.2752;3.2752;0.1476;1.1642e+03;5.0511e+01;0.0000;2.3046e+03;1;41.03031;-70.87921;5.000;31.9556;31.9582;22.0657;22.0714;248.330;242.023;224.34903;223.86876;21.4174;21.4037;1522.05;1522.01;0.181;0.232;123;0.0000e+00
1466;207.748016;61.022;6.047;21.3746;21.3509;-0.0236;4.547641;4.545904;-0.001561;4.1863;0.8875;80.1012;0.1283;0.2836;2.0369;40.74;4.0570;2.6950;2.6951;3.2807;3.2807;0.1408;1.0015e+03;4.3503e+01;0.0000;2.3022e+03;1;41.03031;-70.87918;6.000;31.9558;31.9597;22.0777;22.0871;248.145;242.640;224.52322;224.04401;21.3734;21.3498;1521.95;1521.89;0.184;0.299;133;0.0000e+00
1600;207.748077;66.629;7.055;21.3084;21.3117;0.0033;4.540119;4.541130;0.000962;4.1873;0.8866;80.1204;0.1280;0.2820;1.9904;39.81;3.9987;2.6924;2.6924;3.2747;3.2747;0.1474;8.6851e+02;3.7775e+01;0.0000;2.2990e+03;1;41.03032;-70.87916;7.000;31.9456;31.9511;22.0879;22.0912;248.361;242.489;224.80310;224.32547;21.3070;21.3103;1521.77;1521.79;0.198;0.362;120;0.0000e+00
1727;207.748138;71.929;8.063;21.2077;21.2200;0.0123;4.531507;4.532996;0.001725;4.1675;0.9058;79.7365;0.1355;0.3267;1.9395;38.79;3.9288;2.6949;2.6949;3.2848;3.2848;0.1400;7.3874e+02;3.2155e+01;0.0000;2.2973e+03;1;41.03032;-70.87913;8.000;31.9524;31.9549;22.1202;22.1189;249.589;244.188;225.19733;224.72227;21.2062;21.2185;1521.53;1521.56;0.180;0.425;133;0.0000e+00
1863;207.748199;77.568;9.071;20.7116;20.7132;0.0016;4.493055;4.493230;0.001224;4.1218;0.9506;78.8482;0.1522;0.4271;1.8920;37.84;3.8628;2.7238;2.7238;3.3257;3.3257;0.1476;6.3351e+02;2.7560e+01;0.0000;2.2986e+03;1;41.03032;-70.87910;9.000;32.0189;32.0191;22.3031;22.3027;255.986;250.785;227.11208;226.65073;20.7099;20.7115;1520.26;1520.27;0.182;0.487;135;0.0000e+00
1995;207.748260;83.081;10.078;19.3359;19.4482;0.1123;4.373814;4.382672;0.010424;4.0974;0.9747;78.3741;0.1630;0.4921;1.8481;36.96;3.7986;2.7768;2.7768;3.3897;3.3897;0.1405;5.4626e+02;2.3763e+01;0.0000;2.2987e+03;1;41.03032;-70.87909;10.000;32.1010;32.0871;22.7212;22.6820;268.270;261.324;232.75795;232.34007;19.3341;19.4465;1516.52;1516.82;0.180;0.542;134;0.0000e+00
2129;207.748337;88.657;11.086;16.5426;16.7347;0.1921;4.125429;4.142009;0.019866;4.1093;0.9630;78.6051;0.1616;0.4835;1.8034;36.07;3.7350;2.7951;2.7951;3.3985;3.3985;0.1479;4.7158e+02;2.0534e+01;0.0000;2.2965e+03;1;41.03032;-70.87907;11.000;32.1988;32.1885;23.4656;23.4132;282.855;271.907;245.24261;244.93988;16.5409;16.7329;1508.36;1508.93;0.187;0.591;127;0.0000e+00
2262;207.748398;94.189;12.094;13.9192;13.9082;-0.0110;3.884785;3.883799;0.002296;4.1365;0.9361;79.1340;0.1667;0.5143;1.7614;35.23;3.6784;2.6781;2.6781;3.2580;3.2580;0.1363;4.1310e+02;1.7984e+01;0.0000;2.2970e+03;1;41.03034;-70.87904;12.000;32.1974;32.1978;24.0386;24.0414;280.680;274.043;258.15710;257.98962;13.9175;13.9065;1500.12;1500.08;0.228;0.633;106;0.0000e+00
2388;207.748459;99.468;13.102;13.1966;13.3152;0.1186;3.816296;3.826837;0.010553;4.1184;0.9539;78.7824;0.1896;0.6514;1.7088;34.18;3.6224;2.6239;2.6239;3.2351;3.2351;0.1491;3.6290e+02;1.5783e+01;0.0000;2.2994e+03;1;41.03034;-70.87900;13.000;32.1688;32.1673;24.1624;24.1375;282.599;276.770;262.01065;261.88644;13.1948;13.3135;1497.72;1498.11;0.172;0.672;137;0.0000e+00
2516;207.748520;104.794;14.110;13.1030;13.1078;0.0047;3.810138;3.811337;0.001580;4.1118;0.9605;78.6538;0.2173;0.8179;1.6603;33.21;3.5580;2.6263;2.6263;3.2402;3.2402;0.1445;3.1318e+02;1.3620e+01;0.0000;2.2994e+03;1;41.03036;-70.87898;14.000;32.1896;32.1969;24.1967;24.2014;284.058;279.109;262.47986;262.36188;13.1012;13.1059;1497.44;1497.47;0.202;0.709;121;0.0000e+00
2646;207.748581;110.194;15.118;12.9279;12.9666;0.0387;3.795345;3.799069;0.003922;3.8602;1.2199;73.7654;0.5502;2.8153;1.6112;32.22;3.4667;2.6534;2.6534;3.2827;3.2827;0.1408;2.5349e+02;1.1016e+01;0.0000;2.3012e+03;1;41.03036;-70.87896;15.000;32.1986;32.2008;24.2379;24.2321;289.668;285.024;263.40726;263.30054;12.9259;12.9646;1496.88;1497.02;0.189;0.746;127;0.0000e+00
2776;207.748642;115.611;16.126;12.7609;12.7849;0.0240;3.782274;3.784559;0.002481;3.5897;1.5130;68.5087;1.0519;5.8257;1.5589;31.18;3.3792;2.6436;2.6436;3.2633;3.2633;0.1484;2.0743e+02;9.0165e+00;0.0000;2.3005e+03;1;41.03035;-70.87894;16.000;32.2168;32.2180;24.2845;24.2807;287.565;282.475;264.27991;264.18417;12.7588;12.7828;1496.36;1496.44;0.180;0.783;135;0.0000e+00
