Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
578;208.239441;24.027;3.023;22.7754;22.7538;-0.0216;4.682706;4.680814;-0.001856;4.2748;0.8026;81.8204;0.1379;0.3416;1.7576;35.15;1.5357;2.6251;2.6251;3.1634;3.1634;0.1461;2.9249e+00;1.7200e+02;0.0000;1.7005e+00;1;41.06757;-70.88235;3.000;31.9718;31.9731;21.7025;21.7096;234.091;226.860;219.03255;218.52356;22.7748;22.7532;1525.61;1525.56;-0.011;0.128;1275;0.0000e+00
1258;208.239777;52.357;4.031;22.8078;22.8055;-0.0022;4.685774;4.685703;-0.000071;4.2748;0.8025;81.8220;0.1364;0.3321;1.7169;34.34;1.4029;2.6208;2.6208;3.1673;3.1673;0.1507;2.1586e+00;1.2694e+02;0.0000;1.7005e+00;1;41.06747;-70.88230;4.000;31.9714;31.9725;21.6931;21.6946;233.451;227.138;218.90955;218.39996;22.8070;22.8047;1525.71;1525.71;0.192;0.287;111;0.0000e+00
1434;208.239853;59.727;5.039;22.7988;22.8008;0.0020;4.685106;4.685425;0.000349;4.2746;0.8027;81.8177;0.1342;0.3194;1.6758;33.52;1.2237;2.6233;2.6233;3.1693;3.1693;0.1393;1.3766e+00;8.0954e+01;0.0000;1.7005e+00;1;41.06744;-70.88228;5.000;31.9725;31.9735;21.6966;21.6967;233.960;227.272;218.94205;218.43263;22.7978;22.7998;1525.71;1525.71;0.236;0.359;103;0.0000e+00
1537;208.239914;63.991;6.047;22.7005;22.7170;0.0165;4.676269;4.677802;0.001918;4.2702;0.8069;81.7326;0.1357;0.3282;1.6291;32.58;1.0634;2.6238;2.6238;3.1713;3.1713;0.1509;9.2891e-01;5.4626e+01;0.0000;1.7005e+00;1;41.06743;-70.88228;6.000;31.9763;31.9760;21.7272;21.7224;234.406;227.828;219.31230;218.80472;22.6993;22.7158;1525.47;1525.52;0.228;0.420;105;0.0000e+00
1635;208.239960;68.100;7.055;21.7372;21.7870;0.0498;4.586558;4.590018;0.006563;4.2223;0.8528;80.8012;0.1458;0.3887;1.5909;31.82;0.9046;2.6491;2.6491;3.2063;3.2063;0.1429;6.1586e-01;3.6217e+01;0.0000;1.7005e+00;1;41.06741;-70.88228;7.000;31.9907;31.9808;22.0047;21.9836;244.387;236.988;223.04613;222.55899;21.7359;21.7857;1522.96;1523.09;0.286;0.481;84;0.0000e+00
1721;208.239990;71.685;8.063;19.0151;19.0852;0.0701;4.338874;4.343487;0.009383;4.1250;0.9475;78.9097;0.1739;0.5572;1.5482;30.96;0.7435;2.7634;2.7634;3.3631;3.3632;0.1444;3.9414e-01;2.3178e+01;0.0000;1.7005e+00;1;41.06740;-70.88228;8.000;32.0615;32.0454;22.7717;22.7417;272.322;264.419;234.20158;233.79459;19.0137;19.0838;1515.52;1515.70;0.286;0.536;85;0.0000e+00
1803;208.240036;75.091;9.071;17.3395;17.3485;0.0090;4.192241;4.192317;0.002103;4.1362;0.9364;79.1290;0.1905;0.6572;1.5012;30.02;0.6005;2.8189;2.8189;3.4370;3.4371;0.1516;2.5940e-01;1.5254e+01;0.0000;1.7005e+00;1;41.06738;-70.88227;9.000;32.1413;32.1349;23.2415;23.2344;283.535;275.390;241.52808;241.18660;17.3380;17.3470;1510.72;1510.74;0.288;0.584;84;0.0000e+00
1882;208.240082;78.393;10.078;15.9627;16.0009;0.0383;4.070422;4.073114;0.005616;4.1225;0.9499;78.8625;0.2163;0.8120;1.4521;29.04;0.4663;2.7946;2.7946;3.3967;3.3967;0.1519;1.6757e-01;9.8540e+00;0.0000;1.7005e+00;1;41.06736;-70.88226;10.000;32.1879;32.1806;23.5933;23.5792;283.936;273.515;247.93747;247.65982;15.9611;15.9994;1506.59;1506.70;0.314;0.629;77;0.0000e+00
1959;208.240112;81.583;11.086;14.4964;14.5346;0.0382;3.934715;3.936631;0.005834;4.2155;0.8596;80.6695;0.2195;0.8312;1.4124;28.25;0.3600;2.7171;2.7171;3.2944;3.2944;0.1305;1.1180e-01;6.5747e+00;0.0000;1.7005e+00;1;41.06736;-70.88226;11.000;32.1743;32.1599;23.9009;23.8816;283.419;274.593;255.23018;255.02942;14.4948;14.5330;1501.95;1502.05;0.367;0.671;65;0.0000e+00
2030;208.240143;84.555;12.094;13.9473;13.9637;0.0164;3.882239;3.883913;0.002167;4.1765;0.8971;79.9106;0.2437;0.9763;1.3514;27.03;0.2452;2.6795;2.6795;3.2810;3.2810;0.1520;6.4925e-02;3.8180e+00;0.0000;1.7005e+00;1;41.06734;-70.88226;12.000;32.1509;32.1526;23.9975;23.9954;283.719;277.606;258.08395;257.91412;13.9456;13.9620;1500.16;1500.21;0.313;0.711;78;0.0000e+00
