Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
354;210.079819;14.723;3.023;25.0064;24.9902;-0.0162;4.889591;4.888474;-0.001203;4.4115;0.7138;83.6568;0.1191;0.2285;3.1348;62.70;1.4995;2.5460;2.5460;3.0649;3.0649;0.1158;2.7759e+00;1.6324e+02;0.0000;1.7005e+00;1;40.36748;-70.87443;3.000;31.9186;31.9219;21.0127;21.0201;216.615;210.605;210.89680;210.35995;25.0058;24.9895;1531.16;1531.12;0.227;0.098;314;0.0000e+00
549;210.079910;22.843;4.031;25.0348;25.0337;-0.0012;4.892061;4.892001;-0.000113;4.4108;0.7144;83.6437;0.1182;0.2233;2.1482;42.96;1.3420;2.5454;2.5454;3.0636;3.0636;0.1320;1.8632e+00;1.0957e+02;0.0000;1.7005e+00;1;40.36744;-70.87437;4.000;31.9164;31.9168;21.0026;21.0032;216.436;210.319;210.79898;210.26192;25.0340;25.0328;1531.24;1531.24;0.696;0.200;31;0.0000e+00
629;210.079956;26.163;5.039;25.0377;25.0369;-0.0008;4.892426;4.892395;-0.000063;4.4069;0.7181;83.5676;0.1174;0.2187;3.7591;75.18;1.2038;2.5446;2.5446;3.0679;3.0679;0.1560;1.3347e+00;7.8490e+01;0.0000;1.7005e+00;1;40.36743;-70.87435;5.000;31.9167;31.9170;21.0020;21.0025;216.471;211.099;210.78824;210.25117;25.0366;25.0359;1531.26;1531.26;0.242;0.270;90;0.0000e+00
691;210.079987;28.755;6.047;25.0358;25.0366;0.0008;4.892348;4.892450;0.000100;4.4089;0.7162;83.6064;0.1161;0.2106;3.9208;78.42;1.0845;2.5476;2.5476;3.0721;3.0721;0.1538;9.8556e-01;5.7958e+01;0.0000;1.7005e+00;1;40.36742;-70.87432;6.000;31.9172;31.9174;21.0030;21.0030;217.041;211.172;210.79434;210.25728;25.0345;25.0353;1531.28;1531.28;0.486;0.338;48;0.0000e+00
758;210.080017;31.532;7.054;24.9995;25.0048;0.0053;4.889634;4.890051;0.000475;4.4115;0.7138;83.6566;0.1173;0.2177;4.3035;86.07;0.9043;2.5442;2.5442;3.0680;3.0680;0.1538;6.1606e-01;3.6228e+01;0.0000;1.7005e+00;1;40.36740;-70.87431;7.000;31.9226;31.9219;21.0181;21.0160;216.722;211.268;210.91573;210.37894;24.9980;25.0033;1531.21;1531.22;0.304;0.406;81;0.0000e+00
816;210.080048;33.957;8.062;24.6099;24.6408;0.0309;4.860419;4.861557;0.003278;4.4109;0.7144;83.6446;0.1170;0.2161;4.1131;82.26;0.7186;2.5620;2.5620;3.0953;3.0953;0.1234;3.7605e-01;2.2114e+01;0.0000;1.7005e+00;1;40.36738;-70.87429;8.000;31.9837;31.9701;21.1803;21.1609;220.950;214.813;212.22739;211.69406;24.6082;24.6391;1530.34;1530.40;0.613;0.474;38;0.0000e+00
876;210.080078;36.464;9.070;24.0549;24.2121;0.1572;4.821208;4.831286;0.010288;4.4150;0.7106;83.7234;0.1154;0.2063;3.5160;70.32;0.5657;2.5600;2.5600;3.0979;3.0979;0.1494;2.3786e-01;1.3988e+01;0.0000;1.7005e+00;1;40.36737;-70.87426;9.000;32.0893;32.0515;21.4239;21.3492;222.718;217.532;214.09209;213.56490;24.0530;24.2102;1529.10;1529.45;0.299;0.539;91;0.0000e+00
949;210.080109;39.485;10.078;22.6925;22.8710;0.1786;4.727896;4.737736;0.016890;4.4483;0.6801;84.3640;0.1090;0.1681;1.9923;39.85;0.4178;2.6568;2.6568;3.2207;3.2207;0.1540;1.4025e-01;8.2478e+00;0.0000;1.7005e+00;1;40.36736;-70.87422;10.000;32.3772;32.3204;22.0307;21.9378;243.833;233.432;218.80881;218.30521;22.6905;22.8690;1525.93;1526.34;0.529;0.601;44;0.0000e+00
1001;210.080139;41.653;11.086;20.4682;21.1961;0.7279;4.537479;4.606858;0.070026;4.4199;0.7062;83.8188;0.1145;0.2010;3.5979;71.96;0.3035;2.7309;2.7309;3.2828;3.2829;0.1538;8.9112e-02;5.2404e+00;0.0000;1.7005e+00;1;40.36734;-70.87420;11.000;32.5577;32.5553;22.7758;22.5807;259.369;246.324;227.32353;226.87303;20.4661;21.1940;1520.21;1522.20;0.371;0.655;69;0.0000e+00
1066;210.080170;44.373;12.093;19.3526;19.5752;0.2226;4.418967;4.440670;0.027189;4.4108;0.7144;83.6437;0.1164;0.2124;2.6372;52.74;0.1722;2.7910;2.7911;3.3863;3.3863;0.1535;4.1178e-02;2.4216e+00;0.0000;1.7005e+00;1;40.36734;-70.87418;12.000;32.4585;32.4631;22.9912;22.9378;271.533;261.040;232.10451;231.68733;19.3505;19.5730;1517.01;1517.65;0.470;0.705;51;0.0000e+00
