Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
3238;207.658463;134.875;5.039;20.2891;20.3565;0.0674;4.444953;4.451397;0.007460;4.1541;0.9189;79.4765;0.1246;0.2616;0.8644;17.29;4.0904;2.6712;2.6712;3.2512;3.2512;0.1049;1.0893e+03;4.5427e+01;0.0000;2.3979e+03;1;41.20328;-70.88038;5.000;31.9530;31.9539;22.3628;22.3458;251.574;245.105;228.97084;228.52187;20.2882;20.3556;1518.95;1519.13;0.170;0.575;135;0.0000e+00
3436;207.658554;143.140;6.047;19.3069;19.2507;-0.0562;4.353744;4.348822;-0.004076;4.1140;0.9583;78.6959;0.1461;0.3904;0.8005;16.01;4.0151;2.6986;2.6987;3.2981;3.2981;0.1135;9.0702e+02;3.7842e+01;0.0000;2.3969e+03;1;41.20329;-70.88040;6.000;31.9604;31.9632;22.6223;22.6386;258.627;253.335;233.08057;232.66220;19.3058;19.2496;1516.22;1516.06;0.132;0.636;187;0.0000e+00
3595;207.658630;149.767;7.055;18.1645;18.4104;0.2459;4.251167;4.273542;0.023039;4.0699;1.0022;77.8394;0.1758;0.5687;0.7429;14.86;3.9322;2.7287;2.7287;3.3283;3.3284;0.1455;7.4872e+02;3.1214e+01;0.0000;2.3987e+03;1;41.20330;-70.88040;7.000;31.9919;31.9878;22.9290;22.8656;268.736;260.841;238.04404;237.66805;18.1633;18.4092;1512.96;1513.68;0.140;0.687;173;0.0000e+00
3760;207.658707;156.619;8.063;17.7362;17.8021;0.0659;4.213326;4.219364;0.006748;4.0496;1.0224;77.4447;0.1909;0.6593;0.7088;14.18;3.8501;2.7265;2.7265;3.3491;3.3491;0.1396;6.1664e+02;2.5699e+01;0.0000;2.3995e+03;1;41.20330;-70.88040;8.000;32.0081;32.0075;23.0457;23.0294;268.727;264.117;239.92520;239.56593;17.7349;17.8008;1511.74;1511.94;0.169;0.736;140;0.0000e+00
3911;207.658783;162.912;9.071;16.0108;16.3985;0.3876;4.058196;4.091428;0.034740;4.0049;1.0679;76.5768;0.2472;0.9970;0.6648;13.30;3.7819;2.6568;2.6568;3.2467;3.2467;0.1478;5.2539e+02;2.1912e+01;0.0000;2.3978e+03;1;41.20330;-70.88040;9.000;32.0408;32.0200;23.4684;23.3643;268.987;260.347;247.97711;247.69655;16.0094;16.3970;1506.54;1507.71;0.153;0.783;160;0.0000e+00
4068;207.658859;169.447;10.079;15.1552;15.2230;0.0678;3.981380;3.987226;0.006658;4.0145;1.0579;76.7627;0.2943;1.2798;0.6097;12.19;3.7056;2.6242;2.6242;3.2210;3.2211;0.1399;4.4155e+02;1.8431e+01;0.0000;2.3956e+03;1;41.20330;-70.88040;10.000;32.0542;32.0512;23.6687;23.6515;270.861;265.374;252.10974;251.87180;15.1537;15.2215;1503.90;1504.11;0.158;0.826;153;0.0000e+00
4229;207.658936;176.152;11.086;14.9591;14.9912;0.0321;3.964998;3.968013;0.003574;3.9510;1.1239;75.5303;0.3321;1.5064;0.5575;11.15;3.5993;2.6016;2.6016;3.1986;3.1986;0.1483;3.4410e+02;1.4371e+01;0.0000;2.3944e+03;1;41.20330;-70.88040;11.000;32.0674;32.0682;23.7212;23.7149;268.695;263.861;253.06401;252.83656;14.9575;14.9896;1503.31;1503.42;0.173;0.868;137;0.0000e+00
4379;207.659012;182.408;12.094;14.7298;14.7638;0.0341;3.945172;3.948511;0.003474;3.5937;1.5547;68.5869;0.3533;1.6341;0.5119;10.24;3.4875;2.5869;2.5869;3.1845;3.1845;0.1405;2.6632e+02;1.1130e+01;0.0000;2.3928e+03;1;41.20330;-70.88040;12.000;32.0766;32.0787;23.7771;23.7716;268.737;263.992;254.20215;253.98721;14.7280;14.7621;1502.61;1502.72;0.139;0.910;179;0.0000e+00
4536;207.659088;188.957;13.102;14.6655;14.6676;0.0021;3.939769;3.940408;0.000775;3.9055;1.1736;74.6460;0.3868;1.8350;0.4532;9.06;3.3959;2.5832;2.5832;3.1802;3.1802;0.1445;2.1570e+02;9.0045e+00;0.0000;2.3955e+03;1;41.20330;-70.88040;13.000;32.0802;32.0843;23.7936;23.7963;268.868;264.317;254.52138;254.31001;14.6636;14.6657;1502.42;1502.43;0.165;0.952;144;0.0000e+00
4694;207.659164;195.537;14.110;14.6464;14.6563;0.0100;3.938230;3.939524;0.001364;4.0263;1.0455;76.9930;0.3956;1.8873;0.4066;8.13;3.3037;2.5796;2.5796;3.1779;3.1779;0.1422;1.7408e+02;7.2611e+00;0.0000;2.3974e+03;1;41.20330;-70.88040;14.000;32.0816;32.0851;23.7988;23.7993;268.337;264.205;254.61574;254.40544;14.6443;14.6543;1502.38;1502.41;0.158;0.993;152;0.0000e+00
4854;207.659241;202.197;15.118;14.5871;14.5928;0.0057;3.933168;3.934057;0.000953;3.9809;1.0923;76.1099;0.4071;1.9568;0.3583;7.17;3.2073;2.5746;2.5746;3.1726;3.1726;0.1391;1.3929e+02;5.8091e+00;0.0000;2.3977e+03;1;41.20330;-70.88040;15.000;32.0842;32.0876;23.8133;23.8147;268.182;263.798;254.91197;254.70497;14.5849;14.5906;1502.21;1502.23;0.158;1.034;154;0.0000e+00
5010;207.659317;208.725;16.126;14.5705;14.5698;-0.0008;3.931737;3.932135;0.000415;4.0180;1.0542;76.8321;0.3996;1.9117;0.3051;6.10;3.1045;2.5730;2.5730;3.1704;3.1704;0.1474;1.1054e+02;4.6104e+00;0.0000;2.3977e+03;1;41.20330;-70.88042;16.000;32.0845;32.0888;23.8170;23.8205;268.168;263.977;254.99574;254.78969;14.5682;14.5675;1502.17;1502.17;0.126;1.076;198;0.0000e+00
5169;207.659393;215.351;17.134;14.5661;14.5676;0.0015;3.931347;3.931921;0.000590;3.8695;1.2120;73.9467;0.4004;1.9164;0.2514;5.03;3.0141;2.5704;2.5704;3.1678;3.1678;0.1395;8.9866e+01;3.7489e+00;0.0000;2.3971e+03;1;41.20329;-70.88042;17.000;32.0842;32.0882;23.8178;23.8205;267.772;263.623;255.01880;254.81297;14.5636;14.5651;1502.17;1502.18;0.162;1.117;144;0.0000e+00
5338;207.659470;222.363;18.142;14.5362;14.5384;0.0021;3.928790;3.929405;0.000636;3.9418;1.1342;75.3515;0.3939;1.8771;0.1940;3.88;2.9132;2.5672;2.5672;3.1671;3.1671;0.1475;7.0988e+01;2.9609e+00;0.0000;2.3975e+03;1;41.20328;-70.88042;18.000;32.0853;32.0891;23.8249;23.8274;267.649;263.973;255.16899;254.96484;14.5336;14.5358;1502.09;1502.11;0.145;1.159;164;0.0000e+00
6065;207.659821;252.649;19.150;14.5361;14.5384;0.0024;3.928745;3.929378;0.000627;3.6419;1.8143;69.5237;0.3917;1.8644;0.1577;3.15;2.8201;2.5661;2.5661;3.1668;3.1669;0.1371;5.6558e+01;2.3585e+00;0.0000;2.3980e+03;1;41.20326;-70.88040;19.000;32.0846;32.0885;23.8244;23.8269;267.651;263.879;255.17104;254.96689;14.5333;14.5357;1502.11;1502.12;-0.067;1.247;407;0.0000e+00
