Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
670;209.694534;27.860;3.023;24.6979;24.6957;-0.0022;5.092085;5.091956;-0.000126;4.5685;0.5721;86.6734;1.4193;8.0299;0.0387;0.77;3.9156;2.5566;2.5566;3.0662;3.0662;0.1138;8.8719e+02;3.6834e+01;0.0000;2.4103e+03;1;39.77081;-70.99578;3.000;33.6339;33.6346;22.4004;22.4015;216.569;209.471;209.66296;209.13802;24.6972;24.6951;1532.25;1532.25;0.043;0.099;1123;0.0000e+00
1199;209.694794;49.902;4.031;24.7006;24.6998;-0.0007;5.092407;5.092458;0.000105;4.5689;0.5717;86.6811;1.4195;8.0310;0.0196;0.39;3.5533;2.5533;2.5533;3.0696;3.0696;0.1037;3.1375e+02;1.2981e+01;0.0000;2.4170e+03;1;39.77076;-70.99586;4.000;33.6340;33.6349;22.3997;22.4006;216.274;209.771;209.65332;209.12836;24.6997;24.6990;1532.28;1532.28;0.232;0.194;101;0.0000e+00
1279;209.694824;53.269;5.039;24.6706;24.6707;0.0001;5.089365;5.089458;0.000152;4.5675;0.5730;86.6539;1.4194;8.0304;0.8254;16.51;3.4496;2.5563;2.5563;3.0728;3.0728;0.1201;2.4782e+02;1.0257e+01;0.0000;2.4163e+03;1;39.77076;-70.99588;5.000;33.6335;33.6341;22.4084;22.4088;216.737;210.216;209.75999;209.23528;24.6695;24.6696;1532.22;1532.22;0.278;0.248;87;0.0000e+00
1374;209.694870;57.205;6.046;24.6461;24.6489;0.0028;5.086840;5.087213;0.000422;4.5666;0.5737;86.6382;1.4196;8.0313;0.9900;19.80;3.4091;2.5555;2.5555;3.0721;3.0721;0.1047;2.2279e+02;9.2106e+00;0.0000;2.4188e+03;1;39.77074;-70.99589;6.000;33.6328;33.6335;22.4152;22.4149;216.685;210.201;209.84746;209.32294;24.6448;24.6476;1532.18;1532.18;0.266;0.303;90;0.0000e+00
1454;209.694916;60.553;7.054;24.6140;24.6132;-0.0008;5.083584;5.083519;0.000108;4.5637;0.5763;86.5822;1.4195;8.0311;0.5123;10.25;3.3364;2.5539;2.5539;3.0681;3.0681;0.1354;1.8765e+02;7.7745e+00;0.0000;2.4138e+03;1;39.77074;-70.99591;7.000;33.6323;33.6324;22.4245;22.4249;216.733;210.005;209.96182;209.43756;24.6125;24.6117;1532.11;1532.11;0.450;0.357;53;0.0000e+00
1519;209.694946;63.264;8.062;24.5069;24.5127;0.0059;5.072127;5.072609;0.000809;4.5611;0.5787;86.5308;1.4195;8.0312;0.5651;11.30;3.3694;2.5659;2.5659;3.0951;3.0951;0.1058;2.0359e+02;8.4240e+00;0.0000;2.4168e+03;1;39.77073;-70.99592;8.000;33.6270;33.6262;22.4526;22.4502;219.158;213.308;210.34924;209.82590;24.5051;24.5110;1531.86;1531.88;0.273;0.412;96;0.0000e+00
1602;209.694992;66.726;9.069;24.3972;24.3946;-0.0026;5.086986;5.086777;-0.001538;4.5575;0.5819;86.4619;1.4196;8.0317;0.4461;8.92;3.3419;2.5954;2.5954;3.1354;3.1354;0.1279;1.9054e+02;7.8781e+00;0.0000;2.4186e+03;1;39.77072;-70.99594;9.000;33.8198;33.8202;22.6311;22.6322;223.070;217.319;210.47672;209.95549;24.3953;24.3927;1531.82;1531.81;0.363;0.465;65;0.0000e+00
1675;209.695023;69.748;10.077;24.4551;24.4533;-0.0018;5.155021;5.153250;-0.005202;4.5602;0.5794;86.5142;1.4195;8.0311;0.5083;10.17;3.2836;2.6199;2.6199;3.1654;3.1654;0.1014;1.6634e+02;6.8801e+00;0.0000;2.4177e+03;1;39.77072;-70.99594;10.000;34.2839;34.2720;22.9647;22.9563;222.708;217.186;209.64114;209.12207;24.4529;24.4512;1532.48;1532.46;0.385;0.516;63;0.0000e+00
1723;209.695038;71.732;11.085;24.8752;24.8649;-0.0104;5.288712;5.288347;-0.003415;4.5674;0.5731;86.6526;1.4193;8.0296;0.0252;0.50;3.2493;2.6008;2.6008;3.1459;3.1459;0.1038;1.5372e+02;6.3707e+00;0.0000;2.4129e+03;1;39.77072;-70.99594;11.000;34.9564;34.9617;23.3468;23.3539;218.524;213.212;207.26369;206.74524;24.8729;24.8625;1534.24;1534.23;0.525;0.563;46;0.0000e+00
1779;209.695068;74.065;12.093;24.9008;24.9091;0.0084;5.318881;5.319187;0.000003;4.5614;0.5784;86.5369;1.4173;8.0181;0.1366;2.73;3.2335;2.5937;2.5937;3.1388;3.1388;0.1269;1.4823e+02;6.1288e+00;0.0000;2.4186e+03;1;39.77070;-70.99596;12.000;35.1608;35.1565;23.4937;23.4880;217.834;213.023;206.90117;206.38373;24.8981;24.9065;1534.54;1534.56;0.366;0.608;68;0.0000e+00
