Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
547;208.660965;22.737;9.070;21.6530;21.6872;0.0341;4.557878;4.560717;0.002770;4.1092;0.9635;78.6043;0.2143;0.7997;2.8011;56.02;3.3386;2.7695;2.7695;3.3699;3.3699;0.1432;1.8931e+02;1.2321e+01;0.0000;1.5380e+03;1;40.69464;-70.99380;9.000;31.8273;31.8243;21.9004;21.8890;256.039;249.672;223.67134;223.18729;21.6513;21.6854;1522.56;1522.65;0.028;0.119;475;0.0000e+00
2606;208.661957;108.522;10.078;23.2670;23.3634;0.0964;4.697668;4.705767;0.010927;4.2134;0.8614;80.6277;0.1765;0.5731;2.7741;55.48;3.3486;2.6867;2.6867;3.2611;3.2611;0.1042;1.9347e+02;1.0167e+01;0.0000;1.9052e+03;1;40.69447;-70.99398;10.000;31.7271;31.7191;21.3771;21.3436;243.149;236.329;217.53398;217.01605;23.2650;23.3613;1526.72;1526.96;0.307;0.773;78;0.0000e+00
2699;208.662003;112.413;11.086;21.5275;21.5977;0.0702;4.541255;4.545884;0.007848;4.0940;0.9781;78.3085;0.2136;0.7953;2.7266;54.53;3.3247;2.7674;2.7674;3.3651;3.3651;0.1145;1.8292e+02;7.1016e+00;0.0000;2.5897e+03;1;40.69446;-70.99400;11.000;31.7908;31.7753;21.9111;21.8800;258.063;251.146;224.16096;223.67728;21.5253;21.5956;1522.26;1522.43;0.399;0.842;60;0.0000e+00
2770;208.662033;115.363;12.094;20.8657;21.0599;0.1942;4.487530;4.502306;0.015720;4.0677;1.0043;77.7969;0.2312;0.9013;2.6711;53.42;3.2861;2.7939;2.7939;3.4024;3.4024;0.1156;1.6745e+02;6.8056e+00;0.0000;2.4689e+03;1;40.69446;-70.99400;12.000;31.8583;31.8306;22.1403;22.0675;264.927;257.779;226.72331;226.25681;20.8635;21.0576;1520.56;1521.06;0.295;0.900;84;0.0000e+00
2840;208.662064;118.311;13.102;19.2991;19.3682;0.0692;4.359190;4.363254;0.009160;4.0116;1.0608;76.7066;0.2502;1.0149;2.6432;52.86;3.1895;2.8975;2.8975;3.5422;3.5423;0.1044;1.3457e+02;7.0081e+00;0.0000;1.9234e+03;1;40.69446;-70.99402;13.000;32.0086;31.9889;22.6597;22.6270;287.157;278.288;233.06801;232.65112;19.2968;19.3659;1516.36;1516.53;0.404;0.955;58;0.0000e+00
2914;208.662094;121.394;14.109;18.0900;18.2435;0.1535;4.258565;4.270877;0.013129;3.9294;1.1449;75.1088;0.2905;1.2569;2.5785;51.57;3.1048;2.9314;2.9314;3.5790;3.5790;0.1250;1.1016e+02;6.4381e+00;0.0000;1.7108e+03;1;40.69444;-70.99402;14.000;32.1106;32.0938;23.0395;22.9892;292.710;284.222;238.16089;237.78783;18.0876;18.2411;1513.01;1513.44;0.299;1.005;81;0.0000e+00
2983;208.662125;124.236;15.117;17.1088;17.1627;0.0538;4.172357;4.175893;0.006806;3.9640;1.1094;75.7813;0.2753;1.1659;2.5399;50.80;3.0311;2.9513;2.9514;3.6235;3.6235;0.1048;9.3003e+01;5.4270e+00;0.0000;1.7189e+03;1;40.69444;-70.99402;15.000;32.1521;32.1396;23.3042;23.2820;304.669;297.364;242.57298;242.24156;17.1064;17.1602;1510.14;1510.29;0.384;1.053;63;0.0000e+00
3050;208.662170;127.030;16.125;15.7991;15.9279;0.1288;4.061476;4.072812;0.012980;4.0425;1.0296;77.3077;0.2543;1.0398;2.4708;49.42;2.9611;2.9930;2.9931;3.6751;3.6751;0.1181;7.9291e+01;4.9775e+00;0.0000;1.5928e+03;1;40.69444;-70.99404;16.000;32.2398;32.2353;23.6701;23.6380;315.599;306.265;248.63734;248.36812;15.7966;15.9254;1506.24;1506.64;0.315;1.097;78;0.0000e+00
3125;208.662201;130.167;17.133;14.8855;15.0036;0.1181;3.983049;3.992309;0.012451;4.1214;0.9510;78.8410;0.2428;0.9709;2.4251;48.50;2.8817;3.0123;3.0123;3.7114;3.7115;0.1132;6.5914e+01;4.2596e+00;0.0000;1.5485e+03;1;40.69444;-70.99404;17.000;32.2886;32.2743;23.9073;23.8706;324.930;317.171;253.05023;252.82872;14.8830;15.0011;1503.43;1503.79;0.408;1.138;59;0.0000e+00
3187;208.662231;132.745;18.141;13.9212;13.9916;0.0703;3.897122;3.904150;0.008748;4.1623;0.9108;79.6362;0.2409;0.9596;2.3550;47.10;2.8251;3.0242;3.0242;3.7327;3.7327;0.1053;5.7858e+01;3.5771e+00;0.0000;1.6205e+03;1;40.69444;-70.99404;18.000;32.3076;32.3134;24.1234;24.1135;330.819;322.843;257.94818;257.78165;13.9187;13.9890;1500.35;1500.59;0.321;1.177;77;0.0000e+00
3267;208.662262;136.073;19.149;13.0597;13.0938;0.0341;3.821022;3.822797;0.004324;4.2019;0.8724;80.4054;0.2356;0.9276;2.3060;46.12;2.7956;3.0158;3.0158;3.7265;3.7266;0.1287;5.4004e+01;2.7303e+00;0.0000;2.0017e+03;1;40.69444;-70.99406;19.000;32.3268;32.3145;24.3112;24.2950;336.157;329.156;262.46710;262.35349;13.0572;13.0912;1497.54;1497.64;0.350;1.215;70;0.0000e+00
3323;208.662292;138.435;20.157;12.3775;12.4104;0.0329;3.760900;3.764906;0.004964;4.2208;0.8541;80.7727;0.2354;0.9266;2.2554;45.11;2.7888;3.0179;3.0179;3.7458;3.7459;0.1058;5.3179e+01;2.3041e+00;0.0000;2.3122e+03;1;40.69444;-70.99406;20.000;32.3403;32.3504;24.4535;24.4551;341.740;334.873;266.15591;266.08701;12.3749;12.4078;1495.27;1495.39;0.425;1.250;55;0.0000e+00
3403;208.662338;141.746;21.165;11.9431;12.0229;0.0798;3.723950;3.734370;0.011711;4.2392;0.8365;81.1287;0.2376;0.9394;2.1861;43.72;2.7572;2.9947;2.9947;3.7048;3.7048;0.1124;4.9420e+01;1.9639e+00;0.0000;2.5277e+03;1;40.69444;-70.99407;21.000;32.3604;32.3917;24.5507;24.5601;339.821;331.849;268.53131;268.49228;11.9405;12.0202;1493.82;1494.14;0.281;1.285;83;0.0000e+00
